id,num_inv,species,caste,device
60,OPIE_Lapi_290602_P1,lapidarius,worker,P1
61,FR73ABOM120722027_P1,monticola,male,P1
62,FR15ABOM220821055_P1,pomorum,worker,P1
63,ABAURA57210_P1,pratorum,queen,P1
64,UBC-2014.0001_P1,rupestris,queen,P1
65,CD387577b_P1,soroeensis,worker,P1
66,ABAURA8238a_P1,sichelii,worker,P1
67,ATBI GR5_P1,ruderarius,male,P1
68,CD388016b_P1,wurflenii,worker,P1
69,FR15ABOM200821014_P1,pomorum,worker,P1
70,ABAURA8240b_P1,pratorum,worker,P1
71,ABAURA8239_P1,pratorum,worker,P1
72,ABAURA8240d_P1,pyrenaeus,worker,P1
73,ABAURA8212_P1,pyrenaeus,worker,P1
74,CD388872b_P1,soroeensis,worker,P1
75,CollecYvan22_P1,wurflenii,male,P1
76,FR04ABOM220722055_P1,ruderarius,male,P1
77,OPPO.2021.03276_P1,pratorum,worker,P1
78,N385_P1,pratorum,male,P1
79,CD388865_P1,sichelii,worker,P1
80,FR73ABOM140722033_P1,monticola,male,P1
81,FR15_ABOM180720048_P1,wurflenii,male,P1
82,OPPO 5923_P1,sylvarum,worker,P1
83,POLLINIS4984_P1,sylvarum,queen,P1
84,FR73ABOM120722103_P1,pyrenaeus,worker,P1
85,FR15_ABOM17082020015_P1,sylvarum,male,P1
86,CD388623b_P1,monticola,worker,P1
87,FR04ABOM220722087_P1,monticola,worker,P1
88,2020.03936_P1,pyrenaeus,male,P1
89,FR73ABOM130722003_P1,sichelii,male,P1
90,FR15ABOM210821048_P1,pomorum,male,P1
91,FR15_ABOM30072020036_P1,sylvarum,male,P1
92,FR73ABOM200722028_P1,pyrenaeus,male,P1
93,2020.00377_P1,ruderarius,worker,P1
94,ABAURA8607_P1,pratorum,male,P1
95,ABAURA8207e_P1,wurflenii,worker,P1
96,ABAURA8228b_P1,pyrenaeus,worker,P1
97,ABAURA8205c_P1,ruderarius,worker,P1
98,FR15ABOM200722062_P1,wurflenii,male,P1
99,POLLINIS4343_P1,soroeensis,worker,P1
100,ABAURA8852_P1,ruderarius,male,P1
101,FR73ABOM140722009_P1,monticola,worker,P1
102,ABAURA4923_P1,ruderarius,worker,P1
103,FR04ABOM220722031_P1,pyrenaeus,worker,P1
104,CollecYvan21_P1,wurflenii,male,P1
105,CD388821f_P1,sichelii,worker,P1
106,FR15ABOM110721013_P1,rupestris,queen,P1
107,Znieff_galibier_P1,wurflenii,worker,P1
108,ABAURA8672b_P1,soroeensis,worker,P1
109,ABAURA8885e_P1,ruderarius,queen,P1
110,FR73ABOM130722004_P1,pyrenaeus,worker,P1
111,FR73ABOM120722118_P1,monticola,male,P1
112,ABAURA4936_P1,ruderarius,worker,P1
113,D264520_P1,pratorum,queen,P1
114,POLLINIS4981_P1,soroeensis,queen,P1
115,FR73ABOM130722002_P1,monticola,worker,P1
116,FR73ABOM130722039_P1,monticola,male,P1
117,ABAURA7781b_P1,wurflenii,male,P1
118,FR73ABOM120722028_P1,sichelii,male,P1
119,FR15_STPONCY300921002_P1,sylvarum,male,P1
120,FR15ABOM210822013_P1,pomorum,male,P1
121,2017.06254_P1,sylvarum,worker,P1
122,FR15ABOM210821014_P1,pomorum,male,P1
123,FR04ABOM220722051_P1,ruderarius,male,P1
124,NoName1_P1,pratorum,queen,P1
125,2020.04013_P1,sylvarum,worker,P1
126,FR73ABOM140722001_P1,monticola,male,P1
127,CD388612_P1,soroeensis,worker,P1
128,2020.00449_P1,soroeensis,worker,P1
129,ABB-2020.00038_P1,ruderarius,worker,P1
130,CD388018b_P1,ruderarius,male,P1
131,FR73ABOM200722037_P1,pyrenaeus,worker,P1
132,FR15ABOM200821010_P1,pomorum,male,P1
133,CD388821b_P1,pyrenaeus,male,P1
134,CD388821e_P1,sichelii,worker,P1
135,VAN-2019.00814_P1,rupestris,male,P1
136,FR73ABOM200722031_P1,sichelii,male,P1
137,2013.0265_P1,pratorum,male,P1
138,FR15ABOM210822016_P1,pomorum,male,P1
139,ABAURA5633_P1,soroeensis,male,P1
140,ABAURA8207_P1,sichelii,worker,P1
141,FR15_ABOM30072020048_P1,pomorum,worker,P1
142,OPIE_Lapi_130720_P1,lapidarius,worker,P1
143,FR15_ABOM30072020042_P1,sylvarum,male,P1
144,VAN-2019.00783_P1,rupestris,male,P1
145,ABAURA4928_P1,ruderarius,worker,P1
146,FR05ABOM220722027_P1,sichelii,male,P1
147,FR15ABOM170821030b_P1,pomorum,male,P1
148,CD388872c_P1,soroeensis,queen,P1
149,2019.01788_P1,pratorum,queen,P1
150,CD388408_P1,monticola,worker,P1
151,15L2021-1757_P1,rupestris,male,P1
152,ABAURA8625_P1,soroeensis,queen,P1
153,CollecYvan23_P1,wurflenii,male,P1
154,FR73ABOM200722019_P1,pyrenaeus,male,P1
155,ABAURA7150_P1,ruderarius,queen,P1
156,FR15ABOM100721030_P1,rupestris,queen,P1
157,OPIE_Lapi_220620_P1,lapidarius,worker,P1
158,ATBI GR5b_P1,sichelii,worker,P1
159,CD388018e_P1,wurflenii,worker,P1
160,15L2021-1420_P1,rupestris,male,P1
161,FR15ABOM200821004_P1,pomorum,worker,P1
162,ABB.2017.20260_P1,pratorum,worker,P1
163,15L2021-1748_P1,pomorum,male,P1
164,FR73ABOM120722042_P1,pyrenaeus,worker,P1
165,POLLINIS4402_P1,ruderarius,worker,P1
166,FR73ABOM200722039_P1,pyrenaeus,worker,P1
167,ABB-2020.00106_P1,sylvarum,worker,P1
168,FR73ABOM200722040_P1,pyrenaeus,worker,P1
169,FR05ABOM220722026_P1,sichelii,male,P1
170,CD388013_P1,wurflenii,worker,P1
171,ABAURA7781_P1,wurflenii,male,P1
172,N384_P1,pratorum,male,P1
173,FR73ABOM200722032_P1,monticola,worker,P1
174,2020.06207_P1,soroeensis,male,P1
175,CollecYvan6_P1,sichelii,male,P1
176,FR15_ABOM25082020008_P1,sylvarum,male,P1
177,ABAURA4923b_P1,ruderarius,worker,P1
178,CD387804_P1,monticola,male,P1
179,CD387766_P1,sylvarum,worker,P1
180,OPIE_Lapi_240620b_P1,lapidarius,worker,P1
181,FR15ABOM210821174_P1,sylvarum,male,P1
182,CD388018d_P1,wurflenii,worker,P1
183,VAN-2019.00788_P1,rupestris,male,P1
184,2019.02175_P1,pratorum,male,P1
185,CD388391b_P1,wurflenii,worker,P1
186,FR15_ABOM180720047_P1,wurflenii,male,P1
187,FR15ABOM120621015_P1,rupestris,queen,P1
188,FR73ABOM140722015_P1,monticola,male,P1
189,N205_P1,pratorum,worker,P1
190,FR73ABOM120722070_P1,monticola,male,P1
191,ABAURA8206_P1,pyrenaeus,worker,P1
192,ABAURA8239c_P1,soroeensis,worker,P1
193,CollecYvan3_P1,sichelii,male,P1
194,FR15ABOM170821009_P1,sylvarum,male,P1
195,N407_P1,pratorum,worker,P1
196,CEN187839_P1,pratorum,worker,P1
197,NoName14_P1,pomorum,male,P1
198,CD387577_P1,soroeensis,worker,P1
199,FR73ABOM130722064_P1,pyrenaeus,male,P1
200,2020.00254_P1,pyrenaeus,male,P1
201,FR73ABOM120722090_P1,monticola,worker,P1
202,CollecYvan1_P1,sichelii,male,P1
203,CD388862b_P1,sylvarum,worker,P1
204,D264520b_P1,soroeensis,queen,P1
205,FR05ABOM220722025_P1,ruderarius,male,P1
206,ABAURA8606_P1,ruderarius,worker,P1
207,FR15_ABOM180720046_P1,wurflenii,male,P1
208,ABAURA5593_P1,sylvarum,worker,P1
209,FR15ABOM210821115_P1,pomorum,male,P1
210,2019.02167_P1,pratorum,worker,P1
211,CD388145b_P1,soroeensis,male,P1
212,FR15ABOM100721032_P1,rupestris,queen,P1
213,NoName5_P1,sylvarum,worker,P1
214,FR04ABOM220722001_P1,sichelii,queen,P1
215,FR73ABOM130722041_P1,sichelii,male,P1
216,NoName4_P1,sylvarum,worker,P1
217,CD388146_P1,sylvarum,worker,P1
218,FR15ABOM200821233_P1,pomorum,worker,P1
219,FR15ABOM200722063_P1,wurflenii,male,P1
220,FR15_ABOM30072020071_P1,pomorum,worker,P1
221,ABAURA8238e_P1,sichelii,worker,P1
222,FR73ABOM200722041_P1,pyrenaeus,worker,P1
223,RuppSupp1_P1,rupestris,queen,P1
224,CD388018_P1,ruderarius,male,P1
225,FR15ABOM150720008_P1,pomorum,male,P1
226,2020.00339_P1,soroeensis,worker,P1
227,CollecYvan20_P1,wurflenii,male,P1
228,ABAURA8747_P1,pratorum,male,P1
229,15G2021-1200_P1,sylvarum,male,P1
230,FR15ABOM210821043_P1,pomorum,worker,P1
231,ABAURA8233_P1,pratorum,male,P1
232,CollecYvan15_P1,monticola,worker,P1
233,FR73ABOM140722031_P1,monticola,male,P1
234,CD387759_P1,soroeensis,male,P1
235,ABAURA8239b_P1,pratorum,worker,P1
236,ABAURA8595_P1,ruderarius,male,P1
237,FR73ABOM130722046_P1,pyrenaeus,worker,P1
238,ABAURA8150d_P1,wurflenii,worker,P1
239,15G2021-1826_P1,sylvarum,worker,P1
240,FR15ABOM200722026_P1,wurflenii,male,P1
241,ABAURA8228_P1,pratorum,worker,P1
242,CD388016_P1,sichelii,male,P1
243,ABAURA8885b_P1,ruderarius,male,P1
244,FR15ABOM200722064_P1,wurflenii,male,P1
245,FR73ABOM130722018_P1,pyrenaeus,male,P1
246,15L2021-1732_P1,soroeensis,male,P1
247,FR15ABOM200821035_P1,pomorum,worker,P1
248,FR73ABOM130722021_P1,pyrenaeus,male,P1
249,FR73ABOM130722029_P1,sichelii,male,P1
250,CollecYvan18_P1,monticola,worker,P1
251,FR15ABOM170821074_P1,pomorum,worker,P1
252,CollecYvan19_P1,wurflenii,male,P1
253,CD388623d_P1,monticola,worker,P1
254,FR73ABOM130722030_P1,pyrenaeus,male,P1
255,ABAURA8240_P1,pratorum,worker,P1
256,FR15ABOM200722066_P1,wurflenii,male,P1
257,CD388235b_P1,soroeensis,worker,P1
258,CollecYvan2_P1,sichelii,male,P1
259,NoName2_P1,sylvarum,queen,P1
260,ABAURA8239d_P1,wurflenii,worker,P1
261,FR73ABOM130722063_P1,pyrenaeus,male,P1
262,FR15ABOM200821202_P1,pomorum,worker,P1
263,2020.00471_P1,rupestris,male,P1
264,FR73ABOM130722065_P1,pyrenaeus,male,P1
265,CD388623_P1,monticola,male,P1
266,FR15ABOM170821123_P1,pomorum,worker,P1
267,ABAURA8885c_P1,ruderarius,male,P1
268,ABAURA7548_P1,pratorum,worker,P1
269,ABAURA8885f_P1,ruderarius,queen,P1
270,CD388872_P1,soroeensis,worker,P1
271,OPIE_Lapi_230620_P1,lapidarius,worker,P1
272,FR15ABOM200821005_P1,pomorum,male,P1
273,POLLINIS4982b_P1,sylvarum,queen,P1
274,2007.0008_P1,pratorum,male,P1
275,FR15_STPONCY300921024_P1,sylvarum,male,P1
276,POLLINIS5983_P1,soroeensis,male,P1
277,OPIE_Lapi_220620d_P1,lapidarius,worker,P1
278,ABAURA4898_P1,pratorum,worker,P1
279,FR15ABOM170821030_P1,pomorum,male,P1
280,FR15_ABOM180720054_P1,pomorum,worker,P1
281,FR04ABOM220722057_P1,ruderarius,male,P1
282,ABAURA8885_P1,pomorum,male,P1
283,FR73ABOM130722017_P1,monticola,male,P1
284,OPIE_Lapi_070820b_P1,lapidarius,worker,P1
285,NoName15_P1,pomorum,male,P1
286,ABAURA8599_P1,wurflenii,worker,P1
287,FR15ABOM210821119_P1,pomorum,worker,P1
288,CD388860_P1,soroeensis,male,P1
289,ABAURA8207f_P1,wurflenii,worker,P1
290,CD388230c_P1,monticola,male,P1
291,ABAURA8208_P1,sichelii,worker,P1
292,CD387313_P1,ruderarius,worker,P1
293,FR15ABOM130722047_P1,wurflenii,male,P1
294,ABAURA8150c_P1,ruderarius,queen,P1
295,CD388820_P1,wurflenii,worker,P1
296,ABAURA8201_P1,pratorum,queen,P1
297,OPIE_Lapi_270702_P1,lapidarius,worker,P1
298,CD388235_P1,soroeensis,worker,P1
299,NoName13_P1,sylvarum,male,P1
300,FR04ABOM220722054_P1,ruderarius,male,P1
301,ABAURA8238c_P1,sichelii,worker,P1
302,OPIE_Lapi_130720c_P1,lapidarius,worker,P1
303,ABAURA7155_P1,pratorum,queen,P1
304,Polset_1_P1,monticola,worker,P1
305,VAN-2019.00849_P1,rupestris,male,P1
306,CD388229b_P1,soroeensis,worker,P1
307,15L2021-1498_P1,rupestris,male,P1
308,ABAURA8203_P1,sichelii,worker,P1
309,CollecYvan16_P1,monticola,worker,P1
310,CD388861b_P1,pyrenaeus,worker,P1
311,ABAURA4926_P1,pratorum,worker,P1
312,2020.06244_P1,rupestris,male,P1
313,POLLINIS4415_P1,pomorum,worker,P1
314,FR15ABOM210821177_P1,sylvarum,male,P1
315,FR73ABOM130722006_P1,pyrenaeus,worker,P1
316,ABAURA8150_P1,soroeensis,worker,P1
317,VAN-2019.00787_P1,rupestris,male,P1
318,FR73ABOM120722026_P1,sichelii,male,P1
319,ABAURA8208b_P1,sichelii,worker,P1
320,FR15_ABOM25082020007_P1,sylvarum,male,P1
321,ABAURA8238_P1,pratorum,male,P1
322,ABAURA4904_P1,ruderarius,worker,P1
323,FR15ABOM210821107_P1,pomorum,male,P1
324,FR73ABOM130722040_P1,pyrenaeus,male,P1
325,POLLINIS5943_P1,soroeensis,male,P1
326,FR73ABOM120722021_P1,pyrenaeus,worker,P1
327,VAN-2019.00795_P1,ruderarius,worker,P1
328,FR73ABOM130722005_P1,pyrenaeus,worker,P1
329,ABAURA8238d_P1,sichelii,worker,P1
330,CD388003_P1,wurflenii,worker,P1
331,FR74ABOM170722014_P1,monticola,worker,P1
332,2020.00294_P1,soroeensis,worker,P1
333,FR04ABOM220722060_P1,monticola,male,P1
334,ABAURA8207c_P1,wurflenii,worker,P1
335,FR15_ABOM180720053_P1,wurflenii,male,P1
336,CD388821_P1,monticola,male,P1
337,2019.02188_P1,pratorum,worker,P1
338,FR15ABOM210822015_P1,pomorum,male,P1
339,2019.02184_P1,pratorum,queen,P1
340,2020.03926_P1,pratorum,male,P1
341,CD388145_P1,soroeensis,male,P1
342,FR05ABOM220722023_P1,ruderarius,male,P1
343,ABAURA8204_P1,ruderarius,male,P1
344,ABAURA8150b_P1,ruderarius,worker,P1
345,CD388623c_P1,monticola,worker,P1
346,CD388229c_P1,soroeensis,male,P1
347,CD387804c_P1,soroeensis,male,P1
348,FR04ABOM220722061_P1,pyrenaeus,male,P1
349,ABAURA8604_P1,wurflenii,worker,P1
350,FR15ABOM100721031_P1,rupestris,queen,P1
351,ABAURA4902_P1,ruderarius,worker,P1
352,ABAURA8207b_P1,wurflenii,worker,P1
353,FR15ABOM150821068_P1,pomorum,worker,P1
354,OPIE_Lapi_230620b_P1,lapidarius,worker,P1
355,FR73ABOM130722020_P1,pyrenaeus,male,P1
356,FR15ABOM200722065_P1,wurflenii,male,P1
357,CD388809_P1,soroeensis,worker,P1
358,FR04ABOM220722047_P1,sichelii,male,P1
359,ABAURA8240c_P1,pratorum,worker,P1
360,FR04ABOM220722089_P1,pyrenaeus,queen,P1
361,15L2021-1739_P1,soroeensis,male,P1
362,ABAURA8867_P1,soroeensis,worker,P1
363,FR73ABOM130722001_P1,monticola,worker,P1
364,VAN-2019.00850_P1,rupestris,male,P1
365,ABAURA8205b_P1,ruderarius,worker,P1
366,NoName9_P1,sylvarum,male,P1
367,15L2021-1483_P1,soroeensis,male,P1
368,FR15ABOM200821156_P1,rupestris,queen,P1
369,FR73ABOM150722001_P1,monticola,male,P1
370,CD388018c_P1,sichelii,worker,P1
371,FR73ABOM200722034_P1,pyrenaeus,worker,P1
372,ABAURA5591_P1,soroeensis,worker,P1
373,CD387770d_P1,sichelii,worker,P1
374,BAR.2018.00342_P1,sylvarum,worker,P1
375,FR05ABOM220722024_P1,ruderarius,male,P1
376,FR73ABOM120722072_P1,pyrenaeus,male,P1
377,CD387303_P1,sylvarum,worker,P1
378,15L2021-1741_P1,soroeensis,male,P1
379,FR73ABOM200722017_P1,sichelii,male,P1
380,15L2021-1742_P1,soroeensis,male,P1
381,FR15ABOM200821215_P1,pomorum,worker,P1
382,CD388821c_P1,pyrenaeus,male,P1
383,ABAURA7163_P1,ruderarius,queen,P1
384,CD388861_P1,pratorum,male,P1
385,FR04ABOM220722092_P1,pyrenaeus,worker,P1
386,15L2021-1758_P1,rupestris,male,P1
387,OPIE_Lapi_130720b_P1,lapidarius,worker,P1
388,FR15ABOM200821126_P1,pomorum,worker,P1
389,FR15ABOO0712002_P1,rupestris,queen,P1
390,ABAURA5667_P1,monticola,worker,P1
391,CD388229_P1,pratorum,male,P1
392,FR73ABOM140722026_P1,monticola,queen,P1
393,ABAURA7151_P1,sylvarum,queen,P1
394,2020.04010_P1,sylvarum,worker,P1
395,FR74ABOM160722001_P1,monticola,worker,P1
396,FR73ABOM200722038_P1,pyrenaeus,worker,P1
397,FR15ABOM210821077_P1,rupestris,queen,P1
398,ABB-2020.00032_P1,sylvarum,worker,P1
399,ABAURA8207d_P1,wurflenii,worker,P1
400,15L2021-1740_P1,soroeensis,male,P1
401,FR73ABOM150722006_P1,monticola,male,P1
402,ABAURA8526_P1,soroeensis,male,P1
403,CD388821d_P1,pyrenaeus,male,P1
404,FR73ABOM200722030_P1,sichelii,male,P1
405,POLLINIS5985_P1,soroeensis,male,P1
406,2020.03886_P1,sylvarum,worker,P1
407,FR73ABOM200722018_P1,sichelii,male,P1
408,2020.06348_P1,sylvarum,male,P1
409,CD388860b_P1,soroeensis,male,P1
410,2019.02080_P1,pratorum,male,P1
411,CD387770b_P1,monticola,male,P1
412,CD388865c_P1,sichelii,worker,P1
413,2019.00316_P1,pratorum,worker,P1
414,NoName3_P1,pomorum,male,P1
415,OPIE_Lapi_110702_P1,lapidarius,worker,P1
416,CD387324_P1,sylvarum,worker,P1
417,VAN-2019.00822_P1,rupestris,male,P1
418,FR15ABOM210822012_P1,pomorum,male,P1
419,CD388230b_P1,pratorum,male,P1
420,2020.00410_P1,soroeensis,worker,P1
421,FR15_ABOM30072020044_P1,pomorum,worker,P1
422,OPIE_Lapi_240620_P1,lapidarius,worker,P1
423,2020.06243_P1,rupestris,male,P1
424,CD388230_P1,pratorum,male,P1
425,POLLINIS4455_P1,ruderarius,worker,P1
426,FR15AB100518002_P1,wurflenii,queen,P1
427,2012.0034_P1,sylvarum,worker,P1
428,15L2021-1514_P1,rupestris,male,P1
429,VAN-2019.00824_P1,rupestris,male,P1
430,NoName12_P1,sylvarum,male,P1
431,FR73ABOM130722066_P1,pyrenaeus,male,P1
432,15L2021-1743_P1,soroeensis,male,P1
433,FR15ABOM120722071_P1,wurflenii,male,P1
434,CollecYvan17_P1,monticola,worker,P1
435,CD388865b_P1,sichelii,worker,P1
436,FR15ABOM100721047_P1,pomorum,queen,P1
437,POLLINIS4384_P1,soroeensis,male,P1
438,FR15ABOM210821128_P1,sylvarum,male,P1
439,ABAURA8238b_P1,sichelii,worker,P1
440,FR73ABOM130722037_P1,monticola,male,P1
441,FR15ABOM310520005_P1,rupestris,queen,P1
442,15L2021-1731_P1,rupestris,male,P1
443,OPIE_Lapi_160720b_P1,lapidarius,worker,P1
444,CollecYvan4_P1,sichelii,male,P1
445,FR15ABOM210821143_P1,sylvarum,male,P1
446,FR15ABOM210821110_P1,pomorum,male,P1
447,FR73ABOM130722027_P1,pyrenaeus,worker,P1
448,POLLINIS4393_P1,pratorum,worker,P1
449,15L2021-1546_P1,rupestris,male,P1
450,CD388003b_P1,wurflenii,worker,P1
451,NoName10_P1,sylvarum,male,P1
452,BAR-2018.00871_P1,sylvarum,worker,P1
453,ABAURA8205_P1,ruderarius,worker,P1
454,2019.02118_P1,pratorum,queen,P1
455,15L2021-1499_P1,rupestris,male,P1
456,D264515_P1,ruderarius,worker,P1
457,ABAURA4915_P1,ruderarius,worker,P1
458,20A.07897_P1,sylvarum,queen,P1
459,ABAURA8602_P1,ruderarius,male,P1
460,AGR.2016.1415_P1,pratorum,male,P1
461,FR05ABOM220722028_P1,ruderarius,male,P1
462,FR73ABOM120722025_P1,ruderarius,male,P1
463,ABAURA8151_P1,soroeensis,worker,P1
464,FR04ABOM220722050_P1,ruderarius,male,P1
465,FR73ABOM130722007_P1,pyrenaeus,male,P1
466,FR04ABOM220722046_P1,sichelii,male,P1
467,N815_P1,pratorum,male,P1
468,FR15_ABOM25082020010_P1,sylvarum,male,P1
469,FR15_AB210818002_P1,wurflenii,male,P1
470,FR15ABOM210821100_P1,pomorum,male,P1
471,CD387770c_P1,soroeensis,worker,P1
472,2019.02059_P1,pratorum,male,P1
473,CD387766b_P1,ruderarius,worker,P1
474,VAN-2019.00785_P1,rupestris,male,P1
475,ABAURA7153_P1,pratorum,worker,P1
476,OPIE_Lapi_220620b_P1,lapidarius,worker,P1
477,2020.04044_P1,sylvarum,worker,P1
478,N628_P1,pratorum,male,P1
479,CollecYvan5_P1,sichelii,male,P1
480,2019.02073_P1,pratorum,male,P1
481,FR73ABOM140722039_P1,pyrenaeus,worker,P1
482,2020.03930_P1,sylvarum,male,P1
483,ABAURA8205d_P1,wurflenii,worker,P1
484,CD388769_P1,pratorum,worker,P1
485,ABAURA8627_P1,soroeensis,worker,P1
486,FR15ABOM150820018_P1,confusus,male,P1
487,FR15ABOM170821029_P1,confusus,male,P1
488,FR15ABOM210821137_P1,confusus,male,P1
489,FR15ABOM210821139_P1,confusus,male,P1
490,FR15ABOM210821165_P1,confusus,male,P1
491,FR15ABOM210821171_P1,confusus,male,P1
492,FR15ABOM210821210_P1,confusus,male,P1
493,FR15ABOM210821212_P1,confusus,male,P1
494,FR15ABOM220821043_P1,confusus,male,P1
495,FR15ABOM220821068_P1,confusus,male,P1
496,FR15ABOM220821070_P1,confusus,male,P1
497,FR15_ABOM07082020038_P1,confusus,male,P1
498,FR15_ABOM07082020082_P1,confusus,male,P1
499,FR15_ABOM080820007_P1,confusus,male,P1
500,FR15_ABOM080820039_P1,confusus,male,P1
501,FR15_ABOM090820071_P1,confusus,male,P1
502,FR15_ABOM14080820006_P1,confusus,male,P1
503,FR15_ABOM170820009_P1,confusus,male,P1
504,FR15_ABOM170820030_P1,confusus,male,P1
505,NoName8_P1,confusus,male,P1
506,CollecYvan10_P1,confusus,worker,P1
507,CollecYvan11_P1,confusus,worker,P1
508,CollecYvan12_P1,confusus,worker,P1
509,CollecYvan8_P1,confusus,worker,P1
510,CollecYvan9_P1,confusus,worker,P1
511,FR15ABOM170821018_P1,confusus,worker,P1
512,FR15ABOM170821115_P1,confusus,worker,P1
513,FR15ABOM170821120_P1,confusus,worker,P1
514,FR15ABOM210821112_P1,confusus,worker,P1
515,FR15ABOM210821125_P1,confusus,worker,P1
516,FR15ABOM210821147_P1,confusus,worker,P1
517,FR15ABOM210821211_P1,confusus,worker,P1
518,FR15ABOM220821084_P1,confusus,worker,P1
519,FR15ABOM220821085_P1,confusus,worker,P1
520,FR15_ABOM023082020028_P1,confusus,worker,P1
521,FR15_ABOM07082020049_P1,confusus,worker,P1
522,FR15_ABOM07082020062_P1,confusus,worker,P1
523,FR15_ABOM09082020094_P1,confusus,worker,P1
524,NoName6_P1,confusus,worker,P1
525,NoName7_P1,confusus,worker,P1
526,FR15ABOM060621003_P1,confusus,queen,P1
