num_inv,species,caste
ABAURA5633,soroeensis,drone
ABAURA5667,monticola,worker
ABAURA5676,rupestris,queen
ABAURA57210,pratorum,queen
ABAURA7150,ruderarius,queen
ABAURA7151,sylvarum,queen
ABAURA7153,pratorum,worker
ABAURA7155,pratorum,queen
ABAURA7163,ruderarius,queen
ABAURA7548,pratorum,worker
ABAURA7781,wurflenii,drone
ABAURA7781b,wurflenii,drone
ABAURA7910,rupestris,queen
ABAURA8150,soroeensis,worker
ABAURA8150b,ruderarius,worker
ABAURA8150c,ruderarius,queen
ABAURA8150d,wurflenii,worker
ABAURA8151,soroeensis,worker
ABAURA8201,pratorum,queen
ABAURA8203,sichelii,worker
ABAURA8204,ruderarius,drone
ABAURA8205,ruderarius,worker
ABAURA8205b,ruderarius,worker
ABAURA8205c,ruderarius,worker
ABAURA8205d,wurflenii,worker
ABAURA8206,pyrenaeus,worker
ABAURA8207,sichelii,worker
ABAURA8207b,wurflenii,worker
ABAURA8207c,wurflenii,worker
ABAURA8207d,wurflenii,worker
ABAURA8207e,wurflenii,worker
ABAURA8207f,wurflenii,worker
ABAURA8208,sichelii,worker
ABAURA8208b,sichelii,worker
ABAURA8212,pyrenaeus,worker
ABAURA8228,pratorum,worker
ABAURA8228b,pyrenaeus,worker
ABAURA8233,pratorum,drone
ABAURA8238,pratorum,drone
ABAURA8238a,sichelii,worker
ABAURA8238b,sichelii,worker
ABAURA8238c,sichelii,worker
ABAURA8238d,sichelii,worker
ABAURA8238e,sichelii,worker
ABAURA8239,pratorum,worker
ABAURA8239b,pratorum,worker
ABAURA8239c,soroeensis,worker
ABAURA8239d,wurflenii,worker
ABAURA8240,pratorum,worker
ABAURA8240b,pratorum,worker
ABAURA8240c,pratorum,worker
ABAURA8240d,pyrenaeus,worker
ABAURA8399,rupestris,queen
ABAURA8526,soroeensis,drone
ABAURA8526b,wurflenii,worker
ABAURA8595,ruderarius,drone
ABAURA8599,wurflenii,worker
ABAURA8602,ruderarius,drone
ABAURA8604,wurflenii,worker
ABAURA8606,ruderarius,worker
ABAURA8607,pratorum,drone
ABAURA8625,soroeensis,queen
ABAURA8627,soroeensis,worker
ABAURA8627b,soroeensis,worker
ABAURA8747,pratorum,drone
ABAURA8764,pratorum,drone
ABAURA8852,ruderarius,drone
ABAURA8852b,ruderarius,worker
ABAURA8867,soroeensis,worker
ABAURA8885,pomorum,drone
ABAURA8885b,ruderarius,drone
ABAURA8885c,ruderarius,drone
ABAURA8885d,ruderarius,drone
ABAURA8885e,ruderarius,queen
ABAURA8885f,ruderarius,queen
ABB-2017.09516,terrestris,queen
ABB-2017.09565,terrestris,queen
ABB-2017.09615,terrestris,queen
ABB-2017.09681,terrestris,drone
ABB-2017.19025,terrestris,drone
ABB-2017.19138,terrestris,drone
ABB-2020.00032,sylvarum,worker
ABB-2020.00038,ruderarius,worker
ABB-2020.00106,sylvarum,worker
ABB.2017.20260,pratorum,worker
AGR.2016.1415,pratorum,drone
ARN-2016.18265,terrestris,worker
ARN-2016.18266,terrestris,worker
ATBI GR5,ruderarius,drone
ATBI GR5b,sichelii,worker
BAR-2018.00332,sylvarum,worker
BAR-2018.00871,sylvarum,worker
BAR.2018.00342,sylvarum,worker
C2009.0558,terrestris,worker
CD387287,soroeensis,worker
CD387303,sylvarum,worker
CD387313,ruderarius,worker
CD387324,sylvarum,worker
CD387577,soroeensis,worker
CD387577b,soroeensis,worker
CD387759,soroeensis,drone
CD387766,sylvarum,worker
CD387766b,ruderarius,worker
CD387770,pratorum,worker
CD387770b,monticola,drone
CD387770c,soroeensis,worker
CD387770d,sichelii,worker
CD387804,monticola,drone
CD387804c,soroeensis,drone
CD387804d,sichelii,drone
CD388003,wurflenii,worker
CD388003b,wurflenii,worker
CD388013,wurflenii,worker
CD388016,sichelii,drone
CD388016b,wurflenii,worker
CD388018,ruderarius,drone
CD388018b,ruderarius,drone
CD388018c,sichelii,worker
CD388018d,wurflenii,worker
CD388018e,wurflenii,worker
CD388135,sylvarum,worker
CD388145,soroeensis,drone
CD388145b,soroeensis,drone
CD388146,sylvarum,worker
CD388229,pratorum,drone
CD388229b,soroeensis,worker
CD388229c,sichelii,worker
CD388229c,soroeensis,drone
CD388230,pratorum,drone
CD388230b,pratorum,drone
CD388230c,monticola,drone
CD388230d,soroeensis,worker
CD388235,soroeensis,worker
CD388235b,soroeensis,worker
CD388391,soroeensis,queen
CD388391b,wurflenii,worker
CD388408,monticola,worker
CD388612,soroeensis,worker
CD388623,monticola,drone
CD388623b,monticola,worker
CD388623c,monticola,worker
CD388623d,monticola,worker
CD388623e,pyrenaeus,worker
CD388769,pratorum,worker
CD388809,soroeensis,worker
CD388820,wurflenii,worker
CD388820b,wurflenii,worker
CD388821,monticola,drone
CD388821b,pyrenaeus,drone
CD388821c,pyrenaeus,drone
CD388821d,pyrenaeus,drone
CD388821d,sichelii,worker
CD388821e,sichelii,worker
CD388821f,sichelii,worker
CD388860,soroeensis,drone
CD388860b,soroeensis,drone
CD388861,lucorum,drone
CD388861,pratorum,drone
CD388861b,pyrenaeus,worker
CD388862,soroeensis,worker
CD388862b,sylvarum,worker
CD388865,sichelii,worker
CD388865b,sichelii,worker
CD388865c,sichelii,worker
CD388865d,sichelii,worker
CD388865e,sichelii,worker
CD388872,soroeensis,worker
CD388872b,soroeensis,worker
CD388872c,soroeensis,queen
CD888235b,soroeensis,worker
CEN187839,pratorum,worker
CYALU.202103022,terrestris,queen
CollecYvan1,sichelii,drone
CollecYvan10,confusus,worker
CollecYvan11,confusus,worker
CollecYvan12,confusus,worker
CollecYvan14,monticola,worker
CollecYvan15,monticola,worker
CollecYvan16,monticola,worker
CollecYvan17,monticola,worker
CollecYvan18,monticola,worker
CollecYvan19,wurflenii,drone
CollecYvan2,sichelii,drone
CollecYvan20,wurflenii,drone
CollecYvan21,wurflenii,drone
CollecYvan22,wurflenii,drone
CollecYvan23,wurflenii,drone
CollecYvan24,wurflenii,drone
CollecYvan3,sichelii,drone
CollecYvan4,sichelii,drone
CollecYvan5,sichelii,drone
CollecYvan6,sichelii,drone
CollecYvan8,confusus,worker
CollecYvan9,confusus,worker
D26-5618,rupestris,queen
D264515,ruderarius,worker
D264520,pratorum,queen
D264520b,soroeensis,queen
FB.F19.0001,terrestris(?),worker
FB.F19.0002,terrestris(?),worker
FB.F19.0004,terrestris(?),worker
FB.F19.0025,terrestris(?),worker
FB.F19.0026,terrestris(?),worker
FB.F19.0027,terrestris(?),worker
FB.F19.0028,terrestris(?),worker
FB.F19.0036,pratorum(?),worker
FB.F19.0038,pratorum(?),worker
FB.F19.0044,terrestris(?),worker
FB.F19.0045,terrestris(?),worker
FB.F19.0061,terrestris(?),worker
FB.F19.0074,terrestris(?),worker
FB.F19.0075,terrestris(?),worker
FB.F19.0077,pratorum(?),worker
FB.F19.0078,terrestris(?),worker
FB.F19.0079,terrestris(?),worker
FB.F19.0080,pratorum,worker
FB.F19.0081,terrestris(?),worker
FB.F19.0082,terrestris(?),worker
FB.F19.0084,pratorum(?),worker
FB.F19.0094,terrestris(?),worker
FB.F19.0188,terrestris(?),worker
FB.F19.0191,hortorum,queen
FB.F19.0192,pratorum(?),worker
FB.F19.0202,terrestris(?),worker
FB.F19.0212,pascuorum,queen
FB.F19.0280,pascuorum,queen
FB.F19.0284,pascuorum,queen
FB.F19.0297,pascuorum,worker
FB.F19.0298,pascuorum,queen
FB.F19.0302,terrestris(?),worker
FB.F19.0334,hortorum,queen
FB.F19.0342,pascuorum,queen
FB.F19.0347,terrestris(?),worker
FB.F19.0348,pascuorum,queen
FB.F19.0355,terrestris(?),worker
FB.F19.0360,pratorum(?),worker
FB.F19.0363,pascuorum,queen
FB.P19.0005,terrestris(?),worker
FB.P19.0006,terrestris(?),worker
FB.P19.0007,terrestris(?),worker
FB.P19.0103,terrestris(?),worker
FB.P19.0116,terrestris(?),worker
FB.P19.0140,campestris,queen
FB.P19.0148,terrestris(?),worker
FB.P19.0149,pratorum(?),worker
FB.P19.0153,pratorum(?),worker
FB.P19.0157,terrestris(?),worker
FB.P19.0223,campestris,queen
FB.P19.0301,campestris,queen
FR04ABOM220722001,sichelii,queen
FR04ABOM220722031,pyrenaeus,worker
FR04ABOM220722046,sichelii,drone
FR04ABOM220722047,sichelii,drone
FR04ABOM220722050,ruderarius,drone
FR04ABOM220722051,ruderarius,drone
FR04ABOM220722054,ruderarius,drone
FR04ABOM220722055,ruderarius,drone
FR04ABOM220722057,ruderarius,drone
FR04ABOM220722060,monticola,drone
FR04ABOM220722061,pyrenaeus,drone
FR04ABOM220722087,monticola,worker
FR04ABOM220722089,pyrenaeus,queen
FR04ABOM220722092,pyrenaeus,worker
FR05ABOM220722023,ruderarius,drone
FR05ABOM220722024,ruderarius,drone
FR05ABOM220722025,ruderarius,drone
FR05ABOM220722026,sichelii,drone
FR05ABOM220722027,sichelii,drone
FR05ABOM220722028,ruderarius,drone
FR15AB100518002,wurflenii,queen
FR15ABOM060621003,confusus,queen
FR15ABOM100721030,rupestris,queen
FR15ABOM100721031,rupestris,queen
FR15ABOM100721032,rupestris,queen
FR15ABOM100721047,pomorum,queen
FR15ABOM110721013,rupestris,queen
FR15ABOM120621015,rupestris,queen
FR15ABOM120722071,wurflenii,drone
FR15ABOM130621006,rupestris,queen
FR15ABOM130722047,wurflenii,drone
FR15ABOM150720008,pomorum,drone
FR15ABOM150820018,confusus,drone
FR15ABOM150821068,pomorum,worker
FR15ABOM170821009,sylvarum,drone
FR15ABOM170821018,confusus,worker
FR15ABOM170821029,confusus,drone
FR15ABOM170821030,pomorum,drone
FR15ABOM170821030b,pomorum,drone
FR15ABOM170821074,pomorum,worker
FR15ABOM170821115,confusus,worker
FR15ABOM170821120,confusus,worker
FR15ABOM170821123,pomorum,worker
FR15ABOM200722026,wurflenii,drone
FR15ABOM200722062,wurflenii,drone
FR15ABOM200722063,wurflenii,drone
FR15ABOM200722064,wurflenii,drone
FR15ABOM200722065,wurflenii,drone
FR15ABOM200722066,wurflenii,drone
FR15ABOM200821004,pomorum,worker
FR15ABOM200821005,pomorum,drone
FR15ABOM200821010,pomorum,drone
FR15ABOM200821014,pomorum,worker
FR15ABOM200821035,pomorum,worker
FR15ABOM200821126,pomorum,worker
FR15ABOM200821156,rupestris,queen
FR15ABOM200821202,pomorum,worker
FR15ABOM200821209,pomorum,drone
FR15ABOM200821215,pomorum,worker
FR15ABOM200821233,pomorum,worker
FR15ABOM210821014,pomorum,drone
FR15ABOM210821043,pomorum,worker
FR15ABOM210821048,pomorum,drone
FR15ABOM210821077,rupestris,queen
FR15ABOM210821100,pomorum,drone
FR15ABOM210821107,pomorum,drone
FR15ABOM210821110,pomorum,drone
FR15ABOM210821112,confusus,worker
FR15ABOM210821115,pomorum,drone
FR15ABOM210821119,pomorum,worker
FR15ABOM210821125,confusus,worker
FR15ABOM210821128,sylvarum,drone
FR15ABOM210821137,confusus,drone
FR15ABOM210821139,confusus,drone
FR15ABOM210821143,sylvarum,drone
FR15ABOM210821147,confusus,worker
FR15ABOM210821165,confusus,drone
FR15ABOM210821171,confusus,drone
FR15ABOM210821174,sylvarum,drone
FR15ABOM210821177,sylvarum,drone
FR15ABOM210821210,confusus,drone
FR15ABOM210821211,confusus,worker
FR15ABOM210821212,confusus,drone
FR15ABOM210822012,pomorum,drone
FR15ABOM210822013,pomorum,drone
FR15ABOM210822014,pomorum,drone
FR15ABOM210822015,pomorum,drone
FR15ABOM210822016,pomorum,drone
FR15ABOM220821043,confusus,drone
FR15ABOM220821055,pomorum,worker
FR15ABOM220821068,confusus,drone
FR15ABOM220821070,confusus,drone
FR15ABOM220821084,confusus,worker
FR15ABOM220821085,confusus,worker
FR15ABOM220822012,pomorum,drone
FR15ABOM220822013,pomorum,drone
FR15ABOM220822014,pomorum,drone
FR15ABOM220822015,pomorum,drone
FR15ABOM310520005,rupestris,queen
FR15ABOO0712002,rupestris,queen
FR15_AB210818002,wurflenii,drone
FR15_ABOM023082020028,confusus,worker
FR15_ABOM07082020038,confusus,drone
FR15_ABOM07082020049,confusus,worker
FR15_ABOM07082020062,confusus,worker
FR15_ABOM07082020082,confusus,drone
FR15_ABOM080820007,confusus,drone
FR15_ABOM080820039,confusus,drone
FR15_ABOM090820071,confusus,drone
FR15_ABOM09082020078,sylvarum,drone
FR15_ABOM09082020094,confusus,worker
FR15_ABOM14080820006,confusus,drone
FR15_ABOM170820009,confusus,drone
FR15_ABOM170820030,confusus,drone
FR15_ABOM17082020015,sylvarum,drone
FR15_ABOM180720046,wurflenii,drone
FR15_ABOM180720047,wurflenii,drone
FR15_ABOM180720048,wurflenii,drone
FR15_ABOM180720053,wurflenii,drone
FR15_ABOM180720054,pomorum,worker
FR15_ABOM25082020007,sylvarum,drone
FR15_ABOM25082020008,sylvarum,drone
FR15_ABOM25082020010,sylvarum,drone
FR15_ABOM30072020036,sylvarum,drone
FR15_ABOM30072020040,pomorum,worker
FR15_ABOM30072020042,sylvarum,drone
FR15_ABOM30072020044,pomorum,worker
FR15_ABOM30072020045,pomorum,worker
FR15_ABOM30072020048,pomorum,worker
FR15_ABOM30072020071,pomorum,worker
FR15_STPONCY300921002,sylvarum,drone
FR15_STPONCY300921024,sylvarum,drone
FR73ABOM120722002,pyrenaeus,drone
FR73ABOM120722021,pyrenaeus,worker
FR73ABOM120722025,ruderarius,drone
FR73ABOM120722026,sichelii,drone
FR73ABOM120722027,monticola,drone
FR73ABOM120722028,sichelii,drone
FR73ABOM120722042,pyrenaeus,worker
FR73ABOM120722070,monticola,drone
FR73ABOM120722072,pyrenaeus,drone
FR73ABOM120722090,monticola,worker
FR73ABOM120722103,pyrenaeus,worker
FR73ABOM120722118,monticola,drone
FR73ABOM130722001,monticola,worker
FR73ABOM130722002,monticola,worker
FR73ABOM130722003,sichelii,drone
FR73ABOM130722004,pyrenaeus,worker
FR73ABOM130722005,pyrenaeus,worker
FR73ABOM130722006,pyrenaeus,worker
FR73ABOM130722007,pyrenaeus,drone
FR73ABOM130722009,pyrenaeus,drone
FR73ABOM130722017,monticola,drone
FR73ABOM130722018,pyrenaeus,drone
FR73ABOM130722020,pyrenaeus,drone
FR73ABOM130722021,pyrenaeus,drone
FR73ABOM130722027,pyrenaeus,worker
FR73ABOM130722029,sichelii,drone
FR73ABOM130722030,pyrenaeus,drone
FR73ABOM130722037,monticola,drone
FR73ABOM130722039,monticola,drone
FR73ABOM130722040,pyrenaeus,drone
FR73ABOM130722041,sichelii,drone
FR73ABOM130722046,pyrenaeus,worker
FR73ABOM130722062,pyrenaeus,drone
FR73ABOM130722063,pyrenaeus,drone
FR73ABOM130722064,pyrenaeus,drone
FR73ABOM130722065,pyrenaeus,drone
FR73ABOM130722066,pyrenaeus,drone
FR73ABOM130722067,pyrenaeus,drone
FR73ABOM140722001,monticola,drone
FR73ABOM140722009,monticola,worker
FR73ABOM140722011,monticola,drone
FR73ABOM140722015,monticola,drone
FR73ABOM140722026,monticola,queen
FR73ABOM140722031,monticola,drone
FR73ABOM140722032,monticola,drone
FR73ABOM140722033,monticola,drone
FR73ABOM140722039,pyrenaeus,worker
FR73ABOM150722001,monticola,drone
FR73ABOM150722006,monticola,drone
FR73ABOM200722017,sichelii,drone
FR73ABOM200722018,sichelii,drone
FR73ABOM200722019,pyrenaeus,drone
FR73ABOM200722028,pyrenaeus,drone
FR73ABOM200722029,pyrenaeus,drone
FR73ABOM200722030,sichelii,drone
FR73ABOM200722031,sichelii,drone
FR73ABOM200722032,monticola,worker
FR73ABOM200722034,pyrenaeus,worker
FR73ABOM200722037,pyrenaeus,worker
FR73ABOM200722038,pyrenaeus,worker
FR73ABOM200722039,pyrenaeus,worker
FR73ABOM200722040,pyrenaeus,worker
FR73ABOM200722041,pyrenaeus,worker
FR74ABOM160722001,monticola,worker
FR74ABOM160722015,monticola,worker
FR74ABOM170722014,monticola,worker
JE.F19.0158,terrestris(?),worker
JE.F19.0166,terrestris(?),worker
JE.F19.0173,terrestris(?),worker
JE.F19.0174,pascuorum,queen
JE.F19.0176,pascuorum,queen
JE.F19.0242,terrestris(?),worker
JE.F19.0244,terrestris(?),worker
JE.F19.0268,terrestris(?),worker
JE.F19.0277,terrestris(?),worker
JE.F19.0305,terrestris(?),worker
JE.F19.0306,pascuorum,queen
JE.F19.0311,terrestris(?),worker
JE.F19.0320,pascuorum,queen
JE.F19.0324,pascuorum,queen
JE.F19.0332,terrestris(?),worker
JE.F19.0335,pascuorum,queen
JE.F19.0381,pascuorum,worker
JE.F19.0382,hortorum,queen
JE.F19.0388,terrestris(?),worker
JE.F19.0410,pascuorum,queen
JE.F19.0414,pascuorum,queen
JE.F19.0416,terrestris(?),worker
JE.F19.0418,terrestris(?),worker
JE.F19.0427,pratorum(?),worker
MET-2016.18309,terrestris,queen
MET-2018.00201,terrestris,drone
N1151,terrestris,drone
N1152,lapidarius,drone
N1259,pascuorum,worker
N126,pratorum,drone
N127,pascuorum,worker
N128,pascuorum,worker
N1283,pascuorum,worker
N129,pascuorum,worker
N171,terrestris,worker
N173,terrestris,worker
N174,pascuorum,worker
N175,pascuorum,worker
N176,pascuorum,worker
N180,pascuorum,worker
N181,pascuorum,worker
N183,terrestris,worker
N184,pascuorum,worker
N196,pascuorum,worker
N205,pratorum,worker
N210,terrestris,worker
N213,pascuorum,worker
N220,pascuorum,worker
N221,lucorum,drone
N222,vestalis,drone
N223,terrestris(?),worker
N224,terrestris(?),worker
N225,terrestris(?),worker
N227,pascuorum,worker
N228,vestalis,drone
N229,terrestris(?),worker
N230,vestalis,drone
N231,terrestris(?),worker
N234,terrestris,drone
N290,terrestris(?),worker
N291,pascuorum,worker
N306,terrestris(?),worker
N324,pascuorum,worker
N342,pascuorum,worker
N343,pascuorum,worker
N359,pascuorum,worker
N360,pascuorum,worker
N384,pratorum,drone
N385,pratorum,drone
N387,pascuorum,drone
N390,terrestris(?),worker
N391,terrestris(?),worker
N392,terrestris(?),worker
N407,pratorum,worker
N408,lapidarius,worker
N409,terrestris(?),worker
N410,terrestris(?),worker
N411,terrestris(?),worker
N413,lapidarius,worker
N423,terrestris(?),worker
N463,pascuorum,worker
N489,terrestris(?),worker
N492,terrestris(?),worker
N562,terrestris(?),worker
N563,terrestris(?),worker
N579,terrestris(?),worker
N620,pascuorum,worker
N625,pascuorum,worker
N628,pratorum,drone
N629,terrestris,drone
N630,pascuorum,worker
N657,pascuorum,worker
N706,lapidarius,drone
N72,terrestris,worker
N76,lucorum,worker
N813,lucorum,drone
N814,lapidarius,drone
N815,pratorum,drone
N816,lucorum,drone
NoName1,pratorum,queen
NoName10,sylvarum,drone
NoName11,sylvarum,drone
NoName12,sylvarum,drone
NoName13,sylvarum,drone
NoName14,pomorum,drone
NoName15,pomorum,drone
NoName2,sylvarum,queen
NoName3,pomorum,drone
NoName4,sylvarum,worker
NoName5,sylvarum,worker
NoName6,confusus,worker
NoName7,confusus,worker
NoName8,confusus,drone
NoName9,sylvarum,drone
OPIE_Lapi_030803,lapidarius,drone
OPIE_Lapi_030803b,lapidarius,drone
OPIE_Lapi_060803,lapidarius,drone
OPIE_Lapi_070820,lapidarius,drone
OPIE_Lapi_070820b,lapidarius,worker
OPIE_Lapi_100803,lapidarius,drone
OPIE_Lapi_100820,lapidarius,drone
OPIE_Lapi_110702,lapidarius,worker
OPIE_Lapi_130720,lapidarius,worker
OPIE_Lapi_130720b,lapidarius,worker
OPIE_Lapi_130720c,lapidarius,worker
OPIE_Lapi_130720d,lapidarius,worker
OPIE_Lapi_160720,lapidarius,drone
OPIE_Lapi_160720b,lapidarius,worker
OPIE_Lapi_180702,lapidarius,drone
OPIE_Lapi_180703,lapidarius,drone
OPIE_Lapi_200703,lapidarius,drone
OPIE_Lapi_200703b,lapidarius,drone
OPIE_Lapi_200720,lapidarius,worker
OPIE_Lapi_220620,lapidarius,worker
OPIE_Lapi_220620b,lapidarius,worker
OPIE_Lapi_220620c,lapidarius,worker
OPIE_Lapi_220620d,lapidarius,worker
OPIE_Lapi_230620,lapidarius,worker
OPIE_Lapi_230620b,lapidarius,worker
OPIE_Lapi_240620,lapidarius,worker
OPIE_Lapi_240620b,lapidarius,worker
OPIE_Lapi_260620,lapidarius,worker
OPIE_Lapi_260620b,lapidarius,worker
OPIE_Lapi_270702,lapidarius,worker
OPIE_Lapi_290602,lapidarius,worker
OPIE_Lapi_78V,lapidarius,drone
OPIE_Lapi_7B,lapidarius,drone
OPIE_Lapi_95C,lapidarius,drone
OPIE_Lapi_A1,lapidarius,drone
OPIE_Lapi_A1b,lapidarius,drone
OPIE_Lapi_B2,lapidarius,drone
OPIE_Lapi_B2b,lapidarius,drone
OPIE_Lapi_D1,lapidarius,drone
OPIE_Lapi_E7,lapidarius,drone
OPIE_Lapi_H1,lapidarius,drone
OPPO 5923,sylvarum,worker
OPPO.2021.03276,pratorum,worker
OPPO8585,lucorum,queen
POLLINIS4343,soroeensis,worker
POLLINIS4351,pratorum,drone
POLLINIS4384,soroeensis,drone
POLLINIS4393,pratorum,worker
POLLINIS4402,ruderarius,worker
POLLINIS4415,pomorum,worker
POLLINIS4455,ruderarius,worker
POLLINIS4981,soroeensis,queen
POLLINIS4982,rupestris,queen
POLLINIS4982b,sylvarum,queen
POLLINIS4984,sylvarum,queen
POLLINIS5133,rupestris,queen
POLLINIS5943,soroeensis,drone
POLLINIS5983,soroeensis,drone
POLLINIS5985,soroeensis,drone
Polset1,monticola,worker
RNL_2018.00760,lucorum,drone
RuppSupp1,rupestris,queen
SP03-22-0073,terrestris(?),worker
SP03-22-0081,,
SP03-22-0100,,
SP03-22-0112,,
SP03-22-0117,pascuorum,
SP03-22-0140,pascuorum,
SP03-22-0181,pascuorum,
SP03-22-0190,,
SP03-22-0193,,
SP03-22-0195,,
SP03-22-0201,,
SP03-22-0212,,worker
SP03-22-0238,pascuorum,
SP03-22-0243,pascuorum,
SP03-22-0256,pascuorum,
SP03-22-0262,pascuorum,
SP03-22-0267,terrestris(?),
SP03-22-0268,terrestris(?),
SP03-22-0269,pascuorum,
SP03-22-0271,terrestris(?),
SP03-22-0296,terrestris(?),
SP03-22-0320,pascuorum,
SP03-22-0334,pascuorum,
SP03-22-0338,pascuorum,
SP03-22-0368,pascuorum,
SP03-22-0370,pascuorum,
SP03-22-0372,terrestris(?),
SP03-22-0373,pascuorum,
SP03-22-0376,pascuorum,
SP03-22-9007,,worker
SP03-22-9010,,
SP03-22-9015,,
SP03-22-9027,,
SP03-22-9039,,
SP03-22-9040,,
Stock_Luco1,lucorum,queen
Stock_Luco2,lucorum,queen
Stock_Luco3,lucorum,queen
UBC-2011.0157,rupestris,queen
UBC-2013.0358,terrestris,drone
UBC-2013.0556,terrestris,drone
UBC-2013.0557,terrestris,drone
UBC-2014.0001,rupestris,queen
VAN-2019.00781,rupestris,drone
VAN-2019.00783,rupestris,drone
VAN-2019.00785,rupestris,drone
VAN-2019.00787,rupestris,drone
VAN-2019.00788,rupestris,drone
VAN-2019.00795,ruderarius,worker
VAN-2019.00814,rupestris,drone
VAN-2019.00822,rupestris,drone
VAN-2019.00824,rupestris,drone
VAN-2019.00849,rupestris,drone
VAN-2019.00850,rupestris,drone
WB1_23_0001,soroeensis,
WB1_23_0002,ruderarius,
WB1_23_0003,monticola,
WB1_23_0004,pyrenaeus,
WB1_23_0005,ruderarius,
WB1_23_0006,sichelii,
WB1_23_0007,soroeensis,
WB1_23_0008,soroeensis,
WB1_23_0009,rupestris,
WB1_23_0010,ruderarius,
WB1_23_0016,ruderarius,
WB1_23_0017,sichelii,
WB1_23_0018,sichelii,
WB1_23_0019,sichelii,
WB1_23_0020,ruderarius,
WB1_23_0021,ruderarius,
WB1_23_0022,ruderarius,
WB1_23_0023,pyrenaeus,
WB1_23_0024,soroeensis,
WB1_23_0025,soroeensis,
WB1_23_0026,wurflenii,
WB1_23_0031,soroeensis,
WB1_23_0032,wurflenii,
WB1_23_0033,sichelii,
WB1_23_0034,rupestris,
WB1_23_0035,monticola,
WB1_23_0036,sichelii,
WB1_23_0037,rupestris,
WB1_23_0038,wurflenii,
WB1_23_0039,ruderarius,
WB1_23_0040,pyrenaeus,
WB1_23_0046,soroeensis,
WB1_23_0047,pratorum,
WB1_23_0048,soroeensis,
WB1_23_0049,pratorum,
WB1_23_0050,pratorum,
WB1_23_0051,pratorum,
WB1_23_0052,lapidarius,
WB1_23_0053,pratorum,
WB1_23_0054,pratorum,
WB1_23_0055,rupestris,
WB1_23_0056,pratorum,
WB1_23_0061,lapidarius,
WB1_23_0062,lapidarius,
WB1_23_0063,lapidarius,
WB1_23_0064,pratorum,
WB1_23_0065,lapidarius,
WB1_23_0066,lapidarius,
WB1_23_0067,pratorum,
WB1_23_0068,soroeensis,
WB1_23_0069,pratorum,
WB1_23_0070,pratorum,
WB1_23_0076,lapidarius,
WB1_23_0077,lapidarius,
WB1_23_0078,lapidarius,
WB1_23_0079,lapidarius,
WB1_23_0080,lapidarius,
WB1_23_0081,lapidarius,
WB1_23_0082,lapidarius,
WB1_23_0083,lapidarius,
