tps_id,photo_id,inv_id,species,caste,device,device_tag
82,WB1_23_0064_S_1,WB1_23_0064,pratorum,,Huawei P30 lite,S1
83,WB1_23_0064_S_2,WB1_23_0064,pratorum,,Huawei P30 lite,S2
84,WB1_23_0064_S_3,WB1_23_0064,pratorum,,Huawei P30 lite,S3
85,WB1_23_0065_S_1,WB1_23_0065,lapidarius,,Huawei P30 lite,S1
86,WB1_23_0065_S_2,WB1_23_0065,lapidarius,,Huawei P30 lite,S2
87,WB1_23_0065_S_3,WB1_23_0065,lapidarius,,Huawei P30 lite,S3
88,WB1_23_0066_S_1,WB1_23_0066,lapidarius,,Huawei P30 lite,S1
89,WB1_23_0066_S_2,WB1_23_0066,lapidarius,,Huawei P30 lite,S2
90,WB1_23_0066_S_3,WB1_23_0066,lapidarius,,Huawei P30 lite,S3
91,WB1_23_0067_S_1,WB1_23_0067,pratorum,,Huawei P30 lite,S1
92,WB1_23_0067_S_2,WB1_23_0067,pratorum,,Huawei P30 lite,S2
93,WB1_23_0067_S_3,WB1_23_0067,pratorum,,Huawei P30 lite,S3
94,WB1_23_0068_S_1,WB1_23_0068,soroeensis,,Huawei P30 lite,S1
95,WB1_23_0068_S_2,WB1_23_0068,soroeensis,,Huawei P30 lite,S2
96,WB1_23_0068_S_3,WB1_23_0068,soroeensis,,Huawei P30 lite,S3
97,WB1_23_0069_S_1,WB1_23_0069,pratorum,,Huawei P30 lite,S1
98,WB1_23_0069_S_2,WB1_23_0069,pratorum,,Huawei P30 lite,S2
99,WB1_23_0069_S_3,WB1_23_0069,pratorum,,Huawei P30 lite,S3
100,WB1_23_0070_S_1,WB1_23_0070,pratorum,,Huawei P30 lite,S1
101,WB1_23_0070_S_2,WB1_23_0070,pratorum,,Huawei P30 lite,S2
102,WB1_23_0070_S_3,WB1_23_0070,pratorum,,Huawei P30 lite,S3
103,WB1_23_0076_S_1,WB1_23_0076,lapidarius,,Huawei P30 ,S1
104,WB1_23_0076_S_2,WB1_23_0076,lapidarius,,Huawei P30 ,S2
105,WB1_23_0076_S_3,WB1_23_0076,lapidarius,,Huawei P30 ,S3
106,WB1_23_0077_S_1,WB1_23_0077,lapidarius,,Huawei P30,S1
107,WB1_23_0077_S_2,WB1_23_0077,lapidarius,,Huawei P30,S2
108,WB1_23_0077_S_3,WB1_23_0077,lapidarius,,Huawei P30,S3
109,WB1_23_0078_S_1,WB1_23_0078,lapidarius,,Huawei P30,S1
110,WB1_23_0078_S_2,WB1_23_0078,lapidarius,,Huawei P30,S2
111,WB1_23_0078_S_3,WB1_23_0078,lapidarius,,Huawei P30,S3
112,WB1_23_0079_S_1,WB1_23_0079,lapidarius,,Huawei P30,S1
113,WB1_23_0079_S_2,WB1_23_0079,lapidarius,,Huawei P30,S2
114,WB1_23_0079_S_3,WB1_23_0079,lapidarius,,Huawei P30,S3
115,WB1_23_0080_S_1,WB1_23_0080,lapidarius,,Huawei P30,S1
116,WB1_23_0080_S_2,WB1_23_0080,lapidarius,,Huawei P30,S2
117,WB1_23_0080_S_3,WB1_23_0080,lapidarius,,Huawei P30,S3
118,WB1_23_0081_S_1,WB1_23_0081,lapidarius,,Huawei P30,S1
119,WB1_23_0081_S_2,WB1_23_0081,lapidarius,,Huawei P30,S2
120,WB1_23_0081_S_3,WB1_23_0081,lapidarius,,Huawei P30,S3
121,WB1_23_0082_S_1,WB1_23_0082,lapidarius,,Huawei P30,S1
122,WB1_23_0082_S_2,WB1_23_0082,lapidarius,,Huawei P30,S2
123,WB1_23_0082_S_3,WB1_23_0082,lapidarius,,Huawei P30,S3
124,WB1_23_0083_S_1,WB1_23_0083,lapidarius,,Huawei P30,S1
125,WB1_23_0083_S_2,WB1_23_0083,lapidarius,,Huawei P30,S2
126,WB1_23_0083_S_3,WB1_23_0083,lapidarius,,Huawei P30,S3
127,WB1_23_0084_S_1,WB1_23_0084,lapidarius,,Huawei P30,S1
128,WB1_23_0084_S_2,WB1_23_0084,lapidarius,,Huawei P30,S2
129,WB1_23_0084_S_3,WB1_23_0084,lapidarius,,Huawei P30,S3
130,WB1_23_0085_S_1,WB1_23_0085,lapidarius,,Huawei P30,S1
131,WB1_23_0085_S_2,WB1_23_0085,lapidarius,,Huawei P30,S2
132,WB1_23_0085_S_3,WB1_23_0085,lapidarius,,Huawei P30,S3
133,WB1_23_0086_S_1,WB1_23_0086,sylvarum,,Huawei P30,S1
134,WB1_23_0086_S_2,WB1_23_0086,sylvarum,,Huawei P30,S2
135,WB1_23_0086_S_3,WB1_23_0086,sylvarum,,Huawei P30,S3
136,WB1_23_0087_S_1,WB1_23_0087,sylvarum,,Huawei P30,S1
137,WB1_23_0087_S_2,WB1_23_0087,sylvarum,,Huawei P30,S2
138,WB1_23_0087_S_3,WB1_23_0087,sylvarum,,Huawei P30,S3
139,WB1_23_0091_S_1,WB1_23_0091,sylvarum,,Samsung s10,S1
140,WB1_23_0091_S_2,WB1_23_0091,sylvarum,,Samsung s10,S2
141,WB1_23_0091_S_3,WB1_23_0091,sylvarum,,Samsung s10,S3
142,WB1_23_0092_S_1,WB1_23_0092,lapidarius,,Samsung s10,S1
143,WB1_23_0092_S_3,WB1_23_0092,lapidarius,,Samsung s10,S3
144,WB1_23_0093_S_1,WB1_23_0093,lapidarius,,Samsung s10,S1
145,WB1_23_0093_S_2,WB1_23_0093,lapidarius,,Samsung s10,S2
146,WB1_23_0093_S_3,WB1_23_0093,lapidarius,,Samsung s10,S3
147,WB1_23_0094_S_1,WB1_23_0094,lapidarius,,Samsung s10,S1
148,WB1_23_0094_S_2,WB1_23_0094,lapidarius,,Samsung s10,S2
149,WB1_23_0094_S_3,WB1_23_0094,lapidarius,,Samsung s10,S3
150,WB1_23_0095_S_1,WB1_23_0095,lapidarius,,Samsung s10,S1
151,WB1_23_0095_S_2,WB1_23_0095,lapidarius,,Samsung s10,S2
152,WB1_23_0095_S_3,WB1_23_0095,lapidarius,,Samsung s10,S3
153,WB1_23_0096_S_1,WB1_23_0096,lapidarius,,Samsung s10,S1
154,WB1_23_0096_S_2,WB1_23_0096,lapidarius,,Samsung s10,S2
155,WB1_23_0096_S_3,WB1_23_0096,lapidarius,,Samsung s10,S3
156,WB1_23_0097_S_1,WB1_23_0097,lapidarius,,Samsung s10,S1
157,WB1_23_0097_S_2,WB1_23_0097,lapidarius,,Samsung s10,S2
158,WB1_23_0097_S_3,WB1_23_0097,lapidarius,,Samsung s10,S3
159,WB1_23_0098_S_1,WB1_23_0098,pratorum,,Samsung s10,S1
160,WB1_23_0098_S_2,WB1_23_0098,pratorum,,Samsung s10,S2
161,WB1_23_0098_S_3,WB1_23_0098,pratorum,,Samsung s10,S3
162,WB1_23_0099_S_1,WB1_23_0099,lapidarius,,Samsung s10,S1
163,WB1_23_0099_S_2,WB1_23_0099,lapidarius,,Samsung s10,S2
164,WB1_23_0099_S_3,WB1_23_0099,lapidarius,,Samsung s10,S3
165,WB1_23_0106_S_3,WB1_23_0106,lapidarius,,Fairphone 3+,S3
166,WB1_23_0107_S_1,WB1_23_0107,lapidarius,,Fairphone 3+,S1
167,WB1_23_0107_S_2,WB1_23_0107,lapidarius,,Fairphone 3+,S2
168,WB1_23_0107_S_3,WB1_23_0107,lapidarius,,Fairphone 3+,S3
169,WB1_23_0108_S_1,WB1_23_0108,lapidarius,,Fairphone 3+,S1
170,WB1_23_0108_S_2,WB1_23_0108,lapidarius,,Fairphone 3+,S2
171,WB1_23_0108_S_3,WB1_23_0108,lapidarius,,Fairphone 3+,S3
172,WB1_23_0109_S_1,WB1_23_0109,lapidarius,,Fairphone 3+,S1
173,WB1_23_0109_S_2,WB1_23_0109,lapidarius,,Fairphone 3+,S2
174,WB1_23_0110_S_1,WB1_23_0110,sylvarum,,Fairphone 3+,S1
175,WB1_23_0110_S_2,WB1_23_0110,sylvarum,,Fairphone 3+,S2
176,WB1_23_0111_S_1,WB1_23_0111,lapidarius,,Fairphone 3+,S1
177,WB1_23_0111_S_2,WB1_23_0111,lapidarius,,Fairphone 3+,S2
178,WB1_23_0111_S_3,WB1_23_0111,lapidarius,,Fairphone 3+,S3
179,WB1_23_0112_S_1,WB1_23_0112,lapidarius,,Fairphone 3+,S1
180,WB1_23_0112_S_2,WB1_23_0112,lapidarius,,Fairphone 3+,S2
181,WB1_23_0113_S_1,WB1_23_0113,lapidarius,,Fairphone 3+,S1
182,WB1_23_0113_S_2,WB1_23_0113,lapidarius,,Fairphone 3+,S2
183,WB1_23_0113_S_3,WB1_23_0113,lapidarius,,Fairphone 3+,S3
184,WB1_23_0114_S_1,WB1_23_0114,lapidarius,,Fairphone 3+,S1
185,WB1_23_0114_S_2,WB1_23_0114,lapidarius,,Fairphone 3+,S2
186,WB1_23_0114_S_3,WB1_23_0114,lapidarius,,Fairphone 3+,S3
187,WB1_23_0114_S_4,WB1_23_0114,lapidarius,,Fairphone 3+,S4
188,WB1_23_0115_S_1,WB1_23_0115,lapidarius,,Fairphone 3+,S1
189,WB1_23_0115_S_2,WB1_23_0115,lapidarius,,Fairphone 3+,S2
190,WB1_23_0115_S_3,WB1_23_0115,lapidarius,,Fairphone 3+,S3
191,WB1_23_0116_S_2,WB1_23_0116,soroeensis,,Iphone 12,S2
192,WB1_23_0116_S_3,WB1_23_0116,soroeensis,,Iphone 12,S3
193,WB1_23_0117_S_1,WB1_23_0117,pratorum,,Iphone 12,S1
194,WB1_23_0117_S_2,WB1_23_0117,pratorum,,Iphone 12,S2
195,WB1_23_0117_S_3,WB1_23_0117,pratorum,,Iphone 12,S3
196,WB1_23_0118_S_1,WB1_23_0118,lapidarius,,Iphone 12,S1
197,WB1_23_0118_S_2,WB1_23_0118,lapidarius,,Iphone 12,S2
198,WB1_23_0118_S_3,WB1_23_0118,lapidarius,,Iphone 12,S3
199,WB1_23_0119_S_1,WB1_23_0119,pratorum,,Iphone 12,S1
200,WB1_23_0119_S_2,WB1_23_0119,pratorum,,Iphone 12,S2
201,WB1_23_0119_S_3,WB1_23_0119,pratorum,,Iphone 12,S3
202,WB1_23_0120_S_1,WB1_23_0120,soroeensis,,Iphone 12,S1
203,WB1_23_0120_S_2,WB1_23_0120,soroeensis,,Iphone 12,S2
204,WB1_23_0121_S_2,WB1_23_0121,sylvarum,,Iphone 12,S2
205,WB1_23_0121_S_3,WB1_23_0121,sylvarum,,Iphone 12,S3
206,WB1_23_0122_S_1,WB1_23_0122,pratorum,,Iphone 12,S1
207,WB1_23_0122_S_2,WB1_23_0122,pratorum,,Iphone 12,S2
208,WB1_23_0122_S_3,WB1_23_0122,pratorum,,Iphone 12,S3
209,WB1_23_0123_S_1,WB1_23_0123,pratorum,,Iphone 12,S1
210,WB1_23_0123_S_2,WB1_23_0123,pratorum,,Iphone 12,S2
211,WB1_23_0123_S_3,WB1_23_0123,pratorum,,Iphone 12,S3
212,WB1_23_0124_S_2,WB1_23_0124,pratorum,,Iphone 12,S2
213,WB1_23_0124_S_3,WB1_23_0124,pratorum,,Iphone 12,S3
214,WB1_23_0125_S_1,WB1_23_0125,confusus,,Iphone 12,S1
215,WB1_23_0125_S_2,WB1_23_0125,confusus,,Iphone 12,S2
216,WB1_23_0125_S_3,WB1_23_0125,confusus,,Iphone 12,S3
217,WB1_23_0126_S_1,WB1_23_0126,rupestris,,Samsung A52S,S1
218,WB1_23_0126_S_2,WB1_23_0126,rupestris,,Samsung A52S,S2
219,WB1_23_0126_S_3,WB1_23_0126,rupestris,,Samsung A52S,S3
220,WB1_23_0127_S_1,WB1_23_0127,lapidarius,,Samsung A52S,S1
221,WB1_23_0127_S_2,WB1_23_0127,lapidarius,,Samsung A52S,S2
222,WB1_23_0127_S_3,WB1_23_0127,lapidarius,,Samsung A52S,S3
223,WB1_23_0128_S_1,WB1_23_0128,lapidarius,,Samsung A52S,S1
224,WB1_23_0128_S_2,WB1_23_0128,lapidarius,,Samsung A52S,S2
225,WB1_23_0128_S_3,WB1_23_0128,lapidarius,,Samsung A52S,S3
226,WB1_23_0129_S_1,WB1_23_0129,sylvarum,,Samsung A52S,S1
227,WB1_23_0129_S_2,WB1_23_0129,sylvarum,,Samsung A52S,S2
228,WB1_23_0129_S_3,WB1_23_0129,sylvarum,,Samsung A52S,S3
229,WB1_23_0129_S_4,WB1_23_0129,sylvarum,,Samsung A52S,S4
230,WB1_23_0130_S_1,WB1_23_0130,sylvarum,,Samsung A52S,S1
231,WB1_23_0130_S_2,WB1_23_0130,sylvarum,,Samsung A52S,S2
232,WB1_23_0130_S_3,WB1_23_0130,sylvarum,,Samsung A52S,S3
233,WB1_23_0131_S_1,WB1_23_0131,pratorum,,Samsung A52S,S1
234,WB1_23_0131_S_2,WB1_23_0131,pratorum,,Samsung A52S,S2
235,WB1_23_0131_S_3,WB1_23_0131,pratorum,,Samsung A52S,S3
236,WB1_23_0132_S_1,WB1_23_0132,lapidarius,,Samsung A52S,S1
237,WB1_23_0132_S_2,WB1_23_0132,lapidarius,,Samsung A52S,S2
238,WB1_23_0132_S_3,WB1_23_0132,lapidarius,,Samsung A52S,S3
239,WB1_23_0133_S_1,WB1_23_0133,pratorum,,Samsung A52S,S1
240,WB1_23_0133_S_2,WB1_23_0133,pratorum,,Samsung A52S,S2
241,WB1_23_0133_S_3,WB1_23_0133,pratorum,,Samsung A52S,S3
242,WB1_23_0134_S_1,WB1_23_0134,lapidarius,,Samsung A52S,S1
243,WB1_23_0134_S_2,WB1_23_0134,lapidarius,,Samsung A52S,S2
244,WB1_23_0134_S_3,WB1_23_0134,lapidarius,,Samsung A52S,S3
245,WB1_23_0135_S_2,WB1_23_0135,lapidarius,,Samsung A52S,S2
246,WB1_23_0135_S_3,WB1_23_0135,lapidarius,,Samsung A52S,S3
247,WB1_23_0135_S_4,WB1_23_0135,lapidarius,,Samsung A52S,S4
248,WB1_23_0137_S_1,WB1_23_0137,rupestris,,Pixel 7 Pro,S1
249,WB1_23_0138_S_1,WB1_23_0138,pratorum,,Pixel 7 Pro,S1
250,WB1_23_0139_S_1,WB1_23_0139,pratorum,,Pixel 7 Pro,S1
251,WB1_23_0140_S_1,WB1_23_0140,pratorum,,Pixel 7 Pro,S1
252,WB1_23_0141_S_1,WB1_23_0141,pratorum,,Pixel 7 Pro,S1
253,WB1_23_0142_S_1,WB1_23_0142,pratorum,,Pixel 7 Pro,S1
254,WB1_23_0143_S_1,WB1_23_0143,pratorum,,Pixel 7 Pro,S1
255,WB1_23_0144_S_1,WB1_23_0144,pratorum,,Pixel 7 Pro,S1
256,WB1_23_0145_S_1,WB1_23_0145,lapidarius,,Pixel 7 Pro,S1
257,WB1_23_0146_S_1,WB1_23_0146,lapidarius,,Pixel 7 Pro,S1
258,WB1_23_0147_S_1,WB1_23_0147,sp (wurflenii ou pratorum),,Pixel 7 Pro,S1
259,WB1_23_0148_S_1,WB1_23_0148,lapidarius,,Pixel 7 Pro,S1
260,WB1_23_0149_S_1,WB1_23_0149,lapidarius,,Pixel 7 Pro,S1
261,WB1_23_0150_S_1,WB1_23_0150,pratorum,,Pixel 7 Pro,S1
262,WB1_23_0151_S_1,WB1_23_0151,sylvestris,,Pixel 7 Pro,S1
263,WB1_23_0152_S_1,WB1_23_0152,sichelii,,Pixel 7 Pro,S1
264,WB1_23_0153_S_1,WB1_23_0153,pratorum,,Pixel 7 Pro,S1
265,WB1_23_0154_S_1,WB1_23_0154,mesomelas,,Pixel 7 Pro,S1
