id,espece,role,appareil,chemin_wide,chemin_crop_large,statut,area_ratio,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_w,bbox_h,bbox_area,bbox_valid
FR15ABOM210821165_P1,Bombus_confusus,male,P1,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM210821165_P1.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM210821165_P1.JPG,paire_exploitable,0.2522322072656971,0,0,2443,1832,2443,1832,4475576,True
FR15ABOM210821165_P2,Bombus_confusus,male,P2,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM210821165_P2.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM210821165_P2.JPG,paire_exploitable,0.2442765592538088,0,0,2404,1803,2404,1803,4334412,True
FR15ABOM210821165_S1,Bombus_confusus,male,S1,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM210821165_S1.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM210821165_S1.jpg,paire_exploitable,0.3952032417010322,0,0,1897,1423,1897,1423,2699431,True
FR15ABOM210821165_S2,Bombus_confusus,male,S2,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM210821165_S2.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM210821165_S2.jpg,paire_exploitable,0.389426187236826,0,0,1883,1412,1883,1412,2658796,True
FR15ABOM210821165_S3,Bombus_confusus,male,S3,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM210821165_S3.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM210821165_S3.jpg,paire_exploitable,0.3868107239122656,0,0,1877,1407,1877,1407,2640939,True
FR15ABOM210821171_P1,Bombus_confusus,male,P1,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM210821171_P1.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM210821171_P1.JPG,paire_exploitable,0.2473003637537511,0,0,2419,1814,2419,1814,4388066,True
FR15ABOM210821171_P2,Bombus_confusus,male,P2,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM210821171_P2.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM210821171_P2.JPG,paire_exploitable,0.2440395196719182,0,0,2403,1802,2403,1802,4330206,True
FR15ABOM210821171_S1,Bombus_confusus,male,S1,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM210821171_S1.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM210821171_S1.jpg,paire_exploitable,0.377454550887144,0,0,1854,1390,1854,1390,2577060,True
FR15ABOM210821171_S2,Bombus_confusus,male,S2,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM210821171_S2.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM210821171_S2.jpg,paire_exploitable,0.3819836884275325,0,0,1865,1399,1865,1399,2609135,True
FR15ABOM210821171_S3,Bombus_confusus,male,S3,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM210821171_S3.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM210821171_S3.jpg,paire_exploitable,0.3578031320748971,0,0,1805,1354,1805,1354,2443970,True
FR15ABOM210821210_P1,Bombus_confusus,male,P1,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM210821210_P1.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM210821210_P1.JPG,paire_exploitable,0.2533002943213296,0,0,2448,1836,2448,1836,4494528,True
FR15ABOM210821210_P2,Bombus_confusus,male,P2,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM210821210_P2.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM210821210_P2.JPG,paire_exploitable,0.2504799403422207,0,0,2434,1826,2434,1826,4444484,True
FR15ABOM210821210_S1,Bombus_confusus,male,S1,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM210821210_S1.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM210821210_S1.jpg,paire_exploitable,0.3795616268454307,0,0,1859,1394,1859,1394,2591446,True
FR15ABOM210821210_S2,Bombus_confusus,male,S2,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM210821210_S2.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM210821210_S2.jpg,paire_exploitable,0.3712737655054807,0,0,1839,1379,1839,1379,2535981,True
FR15ABOM210821210_S3,Bombus_confusus,male,S3,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM210821210_S3.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM210821210_S3.jpg,paire_exploitable,0.3306107049008337,0,0,1735,1301,1735,1301,2257235,True
FR15ABOM210821212_P1,Bombus_confusus,male,P1,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM210821212_P1.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM210821212_P1.JPG,paire_exploitable,0.2505828491098222,0,0,2435,1826,2435,1826,4446310,True
FR15ABOM210821212_P2,Bombus_confusus,male,P2,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM210821212_P2.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM210821212_P2.JPG,paire_exploitable,0.2586397151647622,0,0,2474,1855,2474,1855,4589270,True
FR15ABOM210821212_S1,Bombus_confusus,male,S1,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM210821212_S1.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM210821212_S1.jpg,paire_exploitable,0.4446899884305623,0,0,2012,1509,2012,1509,3036108,True
FR15ABOM210821212_S2,Bombus_confusus,male,S2,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM210821212_S2.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM210821212_S2.jpg,paire_exploitable,0.4225035888105566,0,0,1961,1471,1961,1471,2884631,True
FR15ABOM210821212_S3,Bombus_confusus,male,S3,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM210821212_S3.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM210821212_S3.jpg,paire_exploitable,0.3877733058111854,0,0,1879,1409,1879,1409,2647511,True
FR15ABOM220821043_P1,Bombus_confusus,male,P1,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM220821043_P1.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM220821043_P1.JPG,paire_exploitable,0.2435657786530471,0,0,2401,1800,2401,1800,4321800,True
FR15ABOM220821043_P2,Bombus_confusus,male,P2,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM220821043_P2.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM220821043_P2.JPG,paire_exploitable,0.2456672365535549,0,0,2411,1808,2411,1808,4359088,True
FR15ABOM220821043_S1,Bombus_confusus,male,S1,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM220821043_S1.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM220821043_S1.jpg,paire_exploitable,0.3509234971485049,0,0,1788,1340,1788,1340,2395920,True
FR15ABOM220821043_S2,Bombus_confusus,male,S2,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM220821043_S2.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM220821043_S2.jpg,paire_exploitable,0.3404657449295647,0,0,1761,1320,1761,1320,2324520,True
FR15ABOM220821043_S3,Bombus_confusus,male,S3,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM220821043_S3.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM220821043_S3.jpg,paire_exploitable,0.3079535599638577,0,0,1674,1256,1674,1256,2102544,True
FR15ABOM220821068_P1,Bombus_confusus,male,P1,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM220821068_P1.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM220821068_P1.JPG,paire_exploitable,0.2599658067867036,0,0,2480,1860,2480,1860,4612800,True
FR15ABOM220821068_P2,Bombus_confusus,male,P2,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM220821068_P2.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM220821068_P2.JPG,paire_exploitable,0.2504799403422207,0,0,2434,1826,2434,1826,4444484,True
FR15ABOM220821068_S1,Bombus_confusus,male,S1,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM220821068_S1.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM220821068_S1.jpg,paire_exploitable,0.3398214360778683,0,0,1759,1319,1759,1319,2320121,True
FR15ABOM220821068_S2,Bombus_confusus,male,S2,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM220821068_S2.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM220821068_S2.jpg,paire_exploitable,0.3620711094928122,0,0,1815,1362,1815,1362,2472030,True
FR15ABOM220821068_S3,Bombus_confusus,male,S3,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM220821068_S3.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM220821068_S3.jpg,paire_exploitable,0.3217771265524233,0,0,1711,1284,1711,1284,2196924,True
FR15ABOM220821070_P1,Bombus_confusus,male,P1,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM220821070_P1.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM220821070_P1.JPG,paire_exploitable,0.2447509765625,0,0,2406,1805,2406,1805,4342830,True
FR15ABOM220821070_P2,Bombus_confusus,male,P2,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM220821070_P2.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM220821070_P2.JPG,paire_exploitable,0.1861953242223568,0,0,2099,1574,2099,1574,3303826,True
FR15ABOM220821070_S1,Bombus_confusus,male,S1,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM220821070_S1.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM220821070_S1.jpg,paire_exploitable,0.3363512160594746,0,0,1747,1310,1747,1310,2288570,True
FR15ABOM220821070_S2,Bombus_confusus,male,S2,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM220821070_S2.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM220821070_S2.jpg,paire_exploitable,0.4207818678394972,0,0,1957,1468,1957,1468,2872876,True
FR15ABOM220821070_S3,Bombus_confusus,male,S3,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM220821070_S3.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM220821070_S3.jpg,paire_exploitable,0.4035796563876548,0,0,1917,1438,1917,1438,2756646,True
FR15_ABOM07082020038_P1,Bombus_confusus,male,ABOM07082020038,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM07082020038_P1.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM07082020038_P1.JPG,paire_exploitable,0.1683968414560249,0,0,1996,1497,1996,1497,2988012,True
FR15_ABOM07082020038_P2,Bombus_confusus,male,ABOM07082020038,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM07082020038_P2.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM07082020038_P2.JPG,paire_exploitable,0.167919099055719,0,0,1993,1495,1993,1495,2979535,True
FR15_ABOM07082020038_S1,Bombus_confusus,male,ABOM07082020038,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM07082020038_S1.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM07082020038_S1.jpg,paire_exploitable,0.3930194650405691,0,0,1891,1419,1891,1419,2683329,True
FR15_ABOM07082020038_S2,Bombus_confusus,male,ABOM07082020038,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM07082020038_S2.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM07082020038_S2.jpg,paire_exploitable,0.3955863012819827,0,0,1898,1423,1898,1423,2700854,True
FR15_ABOM07082020038_S3,Bombus_confusus,male,ABOM07082020038,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM07082020038_S3.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM07082020038_S3.jpg,paire_exploitable,0.360676449596051,0,0,1812,1359,1812,1359,2462508,True
FR15_ABOM07082020082_P1,Bombus_confusus,male,ABOM07082020082,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM07082020082_P1.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM07082020082_P1.JPG,paire_exploitable,0.2504799403422207,0,0,2434,1826,2434,1826,4444484,True
FR15_ABOM07082020082_P2,Bombus_confusus,male,ABOM07082020082,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM07082020082_P2.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM07082020082_P2.JPG,paire_exploitable,0.2538869757401316,0,0,2451,1838,2451,1838,4504938,True
FR15_ABOM07082020082_S1,Bombus_confusus,male,ABOM07082020082,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM07082020082_S1.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM07082020082_S1.jpg,paire_exploitable,0.3595493851237156,0,0,1809,1357,1809,1357,2454813,True
FR15_ABOM07082020082_S2,Bombus_confusus,male,ABOM07082020082,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM07082020082_S2.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM07082020082_S2.jpg,paire_exploitable,0.3498118117235503,0,0,1785,1338,1785,1338,2388330,True
FR15_ABOM07082020082_S3,Bombus_confusus,male,ABOM07082020082,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM07082020082_S3.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM07082020082_S3.jpg,paire_exploitable,0.38051512778304,0,0,1861,1396,1861,1396,2597956,True
FR15_ABOM080820007_P1,Bombus_confusus,male,ABOM080820007,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM080820007_P1.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM080820007_P1.JPG,paire_exploitable,0.25,0,0,2432,1824,2432,1824,4435968,True
FR15_ABOM080820007_P2,Bombus_confusus,male,ABOM080820007,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM080820007_P2.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM080820007_P2.JPG,paire_exploitable,0.2568652997496826,0,0,2465,1849,2465,1849,4557785,True
FR15_ABOM080820007_S1,Bombus_confusus,male,ABOM080820007,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM080820007_S1.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM080820007_S1.jpg,paire_exploitable,0.3424670716287187,0,0,1766,1324,1766,1324,2338184,True
FR15_ABOM080820007_S2,Bombus_confusus,male,ABOM080820007,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM080820007_S2.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM080820007_S2.jpg,paire_exploitable,0.3552562874305874,0,0,1798,1349,1798,1349,2425502,True
FR15_ABOM080820007_S3,Bombus_confusus,male,ABOM080820007,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM080820007_S3.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM080820007_S3.jpg,paire_exploitable,0.3418208587044895,0,0,1764,1323,1764,1323,2333772,True
FR15_ABOM080820039_P1,Bombus_confusus,male,ABOM080820039,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM080820039_P1.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM080820039_P1.JPG,paire_exploitable,0.2484604262248961,0,0,2425,1818,2425,1818,4408650,True
FR15_ABOM080820039_P2,Bombus_confusus,male,ABOM080820039,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM080820039_P2.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM080820039_P2.JPG,paire_exploitable,0.2609100764478012,0,0,2485,1863,2485,1863,4629555,True
FR15_ABOM080820039_S1,Bombus_confusus,male,ABOM080820039,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM080820039_S1.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM080820039_S1.jpg,paire_exploitable,0.3645349793503333,0,0,1822,1366,1822,1366,2488852,True
FR15_ABOM080820039_S2,Bombus_confusus,male,ABOM080820039,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM080820039_S2.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM080820039_S2.jpg,paire_exploitable,0.3765048580946005,0,0,1852,1388,1852,1388,2570576,True
FR15_ABOM080820039_S3,Bombus_confusus,male,ABOM080820039,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM080820039_S3.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM080820039_S3.jpg,paire_exploitable,0.3679447338553324,0,0,1831,1372,1831,1372,2512132,True
FR15_ABOM090820071_P1,Bombus_confusus,male,ABOM090820071,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM090820071_P1.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM090820071_P1.JPG,paire_exploitable,0.2502399138136253,0,0,2433,1825,2433,1825,4440225,True
FR15_ABOM090820071_P2,Bombus_confusus,male,ABOM090820071,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM090820071_P2.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM090820071_P2.JPG,paire_exploitable,0.2458031144498788,0,0,2411,1809,2411,1809,4361499,True
FR15_ABOM090820071_S1,Bombus_confusus,male,ABOM090820071,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM090820071_S1.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM090820071_S1.jpg,paire_exploitable,0.4348725904511348,0,0,1990,1492,1990,1492,2969080,True
FR15_ABOM090820071_S2,Bombus_confusus,male,ABOM090820071,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM090820071_S2.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM090820071_S2.jpg,paire_exploitable,0.4276898429887142,0,0,1973,1480,1973,1480,2920040,True
FR15_ABOM090820071_S3,Bombus_confusus,male,ABOM090820071,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM090820071_S3.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM090820071_S3.jpg,paire_exploitable,0.4227190419410057,0,0,1962,1471,1962,1471,2886102,True
FR15_ABOM14080820006_P1,Bombus_confusus,male,ABOM14080820006,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM14080820006_P1.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM14080820006_P1.JPG,paire_exploitable,0.2509260098359591,0,0,2437,1827,2437,1827,4452399,True
FR15_ABOM14080820006_P2,Bombus_confusus,male,ABOM14080820006,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM14080820006_P2.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM14080820006_P2.JPG,paire_exploitable,0.2483579683171745,0,0,2424,1818,2424,1818,4406832,True
FR15_ABOM14080820006_S1,Bombus_confusus,male,ABOM14080820006,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM14080820006_S1.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM14080820006_S1.jpg,paire_exploitable,0.3800382308471174,0,0,1860,1395,1860,1395,2594700,True
FR15_ABOM14080820006_S2,Bombus_confusus,male,ABOM14080820006,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM14080820006_S2.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM14080820006_S2.jpg,paire_exploitable,0.3744739450376281,0,0,1846,1385,1846,1385,2556710,True
FR15_ABOM14080820006_S3,Bombus_confusus,male,ABOM14080820006,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM14080820006_S3.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM14080820006_S3.jpg,paire_exploitable,0.3962814342235946,0,0,1900,1424,1900,1424,2705600,True
FR15_ABOM170820009_P1,Bombus_confusus,male,ABOM170820009,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM170820009_P1.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM170820009_P1.JPG,paire_exploitable,0.2548547464724723,0,0,2455,1842,2455,1842,4522110,True
FR15_ABOM170820009_P2,Bombus_confusus,male,ABOM170820009,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM170820009_P2.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM170820009_P2.JPG,paire_exploitable,0.2475389813452216,0,0,2420,1815,2420,1815,4392300,True
FR15_ABOM170820009_S1,Bombus_confusus,male,ABOM170820009,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM170820009_S1.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM170820009_S1.jpg,paire_exploitable,0.4134327337311282,0,0,1940,1455,1940,1455,2822700,True
FR15_ABOM170820009_S2,Bombus_confusus,male,ABOM170820009,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM170820009_S2.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM170820009_S2.jpg,paire_exploitable,0.4232220100239166,0,0,1963,1472,1963,1472,2889536,True
FR15_ABOM170820009_S3,Bombus_confusus,male,ABOM170820009,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM170820009_S3.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM170820009_S3.jpg,paire_exploitable,0.4151393685890427,0,0,1944,1458,1944,1458,2834352,True
FR15_ABOM170820030_P1,Bombus_confusus,male,ABOM170820030,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM170820030_P1.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM170820030_P1.JPG,paire_exploitable,0.2609450744459833,0,0,2484,1864,2484,1864,4630176,True
