id,espece,role,appareil,chemin_wide,chemin_crop_large,statut,area_ratio
FR15ABOM210821165_S1,Bombus_confusus,male,S1,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM210821165_S1.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM210821165_S1.jpg,paire_exploitable,0.3952032417010322
FR15ABOM210821165_S2,Bombus_confusus,male,S2,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM210821165_S2.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM210821165_S2.jpg,paire_exploitable,0.38942618723682604
FR15ABOM210821165_S3,Bombus_confusus,male,S3,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM210821165_S3.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM210821165_S3.jpg,paire_exploitable,0.3868107239122656
FR15ABOM210821171_P1,Bombus_confusus,male,P1,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM210821171_P1.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM210821171_P1.JPG,paire_exploitable,0.24730036375375117
FR15ABOM210821171_P2,Bombus_confusus,male,P2,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM210821171_P2.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM210821171_P2.JPG,paire_exploitable,0.24403951967191828
FR15ABOM210821171_S1,Bombus_confusus,male,S1,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM210821171_S1.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM210821171_S1.jpg,paire_exploitable,0.377454550887144
FR15ABOM210821171_S2,Bombus_confusus,male,S2,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM210821171_S2.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM210821171_S2.jpg,paire_exploitable,0.38198368842753255
FR15ABOM210821171_S3,Bombus_confusus,male,S3,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM210821171_S3.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM210821171_S3.jpg,paire_exploitable,0.3578031320748971
FR15ABOM210821210_P1,Bombus_confusus,male,P1,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM210821210_P1.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM210821210_P1.JPG,paire_exploitable,0.25330029432132967
FR15ABOM210821210_P2,Bombus_confusus,male,P2,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM210821210_P2.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM210821210_P2.JPG,paire_exploitable,0.2504799403422207
FR15ABOM210821210_S1,Bombus_confusus,male,S1,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM210821210_S1.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM210821210_S1.jpg,paire_exploitable,0.37956162684543077
FR15ABOM210821210_S2,Bombus_confusus,male,S2,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM210821210_S2.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM210821210_S2.jpg,paire_exploitable,0.37127376550548075
FR15ABOM210821210_S3,Bombus_confusus,male,S3,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM210821210_S3.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM210821210_S3.jpg,paire_exploitable,0.3306107049008337
FR15ABOM210821212_P1,Bombus_confusus,male,P1,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM210821212_P1.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM210821212_P1.JPG,paire_exploitable,0.25058284910982226
FR15ABOM210821212_P2,Bombus_confusus,male,P2,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM210821212_P2.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM210821212_P2.JPG,paire_exploitable,0.25863971516476225
FR15ABOM210821212_S1,Bombus_confusus,male,S1,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM210821212_S1.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM210821212_S1.jpg,paire_exploitable,0.44468998843056234
FR15ABOM210821212_S2,Bombus_confusus,male,S2,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM210821212_S2.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM210821212_S2.jpg,paire_exploitable,0.42250358881055666
FR15ABOM210821212_S3,Bombus_confusus,male,S3,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM210821212_S3.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM210821212_S3.jpg,paire_exploitable,0.3877733058111854
FR15ABOM220821043_P1,Bombus_confusus,male,P1,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM220821043_P1.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM220821043_P1.JPG,paire_exploitable,0.2435657786530471
FR15ABOM220821043_P2,Bombus_confusus,male,P2,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM220821043_P2.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM220821043_P2.JPG,paire_exploitable,0.24566723655355494
FR15ABOM220821043_S1,Bombus_confusus,male,S1,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM220821043_S1.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM220821043_S1.jpg,paire_exploitable,0.3509234971485049
FR15ABOM220821043_S2,Bombus_confusus,male,S2,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM220821043_S2.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM220821043_S2.jpg,paire_exploitable,0.3404657449295647
FR15ABOM220821043_S3,Bombus_confusus,male,S3,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM220821043_S3.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM220821043_S3.jpg,paire_exploitable,0.30795355996385776
FR15ABOM220821068_P1,Bombus_confusus,male,P1,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM220821068_P1.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM220821068_P1.JPG,paire_exploitable,0.2599658067867036
FR15ABOM220821068_P2,Bombus_confusus,male,P2,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM220821068_P2.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM220821068_P2.JPG,paire_exploitable,0.2504799403422207
FR15ABOM220821068_S1,Bombus_confusus,male,S1,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM220821068_S1.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM220821068_S1.jpg,paire_exploitable,0.33982143607786836
FR15ABOM220821068_S2,Bombus_confusus,male,S2,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM220821068_S2.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM220821068_S2.jpg,paire_exploitable,0.3620711094928122
FR15ABOM220821068_S3,Bombus_confusus,male,S3,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM220821068_S3.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM220821068_S3.jpg,paire_exploitable,0.3217771265524233
FR15ABOM220821070_P1,Bombus_confusus,male,P1,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM220821070_P1.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM220821070_P1.JPG,paire_exploitable,0.2447509765625
FR15ABOM220821070_P2,Bombus_confusus,male,P2,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM220821070_P2.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM220821070_P2.JPG,paire_exploitable,0.18619532422235688
FR15ABOM220821070_S1,Bombus_confusus,male,S1,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM220821070_S1.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM220821070_S1.jpg,paire_exploitable,0.33635121605947466
FR15ABOM220821070_S2,Bombus_confusus,male,S2,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM220821070_S2.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM220821070_S2.jpg,paire_exploitable,0.4207818678394972
FR15ABOM220821070_S3,Bombus_confusus,male,S3,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM220821070_S3.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM220821070_S3.jpg,paire_exploitable,0.40357965638765486
FR15_ABOM07082020038_P1,Bombus_confusus,male,ABOM07082020038,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM07082020038_P1.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM07082020038_P1.JPG,paire_exploitable,0.16839684145602493
FR15_ABOM07082020038_P2,Bombus_confusus,male,ABOM07082020038,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM07082020038_P2.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM07082020038_P2.JPG,paire_exploitable,0.16791909905571906
FR15_ABOM07082020038_S1,Bombus_confusus,male,ABOM07082020038,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM07082020038_S1.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM07082020038_S1.jpg,paire_exploitable,0.39301946504056917
FR15_ABOM07082020038_S2,Bombus_confusus,male,ABOM07082020038,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM07082020038_S2.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM07082020038_S2.jpg,paire_exploitable,0.39558630128198274
FR15_ABOM07082020038_S3,Bombus_confusus,male,ABOM07082020038,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM07082020038_S3.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM07082020038_S3.jpg,paire_exploitable,0.360676449596051
FR15_ABOM07082020082_P1,Bombus_confusus,male,ABOM07082020082,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM07082020082_P1.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM07082020082_P1.JPG,paire_exploitable,0.2504799403422207
FR15_ABOM07082020082_P2,Bombus_confusus,male,ABOM07082020082,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM07082020082_P2.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM07082020082_P2.JPG,paire_exploitable,0.2538869757401316
FR15_ABOM07082020082_S1,Bombus_confusus,male,ABOM07082020082,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM07082020082_S1.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM07082020082_S1.jpg,paire_exploitable,0.35954938512371565
FR15_ABOM07082020082_S2,Bombus_confusus,male,ABOM07082020082,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM07082020082_S2.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM07082020082_S2.jpg,paire_exploitable,0.34981181172355036
FR15_ABOM07082020082_S3,Bombus_confusus,male,ABOM07082020082,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM07082020082_S3.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM07082020082_S3.jpg,paire_exploitable,0.38051512778304003
FR15_ABOM080820007_P1,Bombus_confusus,male,ABOM080820007,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM080820007_P1.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM080820007_P1.JPG,paire_exploitable,0.25
FR15_ABOM080820007_P2,Bombus_confusus,male,ABOM080820007,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM080820007_P2.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM080820007_P2.JPG,paire_exploitable,0.2568652997496826
FR15_ABOM080820007_S1,Bombus_confusus,male,ABOM080820007,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM080820007_S1.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM080820007_S1.jpg,paire_exploitable,0.34246707162871876
FR15_ABOM080820007_S2,Bombus_confusus,male,ABOM080820007,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM080820007_S2.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM080820007_S2.jpg,paire_exploitable,0.3552562874305874
FR15_ABOM080820007_S3,Bombus_confusus,male,ABOM080820007,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM080820007_S3.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM080820007_S3.jpg,paire_exploitable,0.3418208587044895
FR15_ABOM080820039_P1,Bombus_confusus,male,ABOM080820039,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM080820039_P1.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM080820039_P1.JPG,paire_exploitable,0.2484604262248961
FR15_ABOM080820039_P2,Bombus_confusus,male,ABOM080820039,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM080820039_P2.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM080820039_P2.JPG,paire_exploitable,0.26091007644780123
FR15_ABOM080820039_S1,Bombus_confusus,male,ABOM080820039,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM080820039_S1.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM080820039_S1.jpg,paire_exploitable,0.36453497935033335
FR15_ABOM080820039_S2,Bombus_confusus,male,ABOM080820039,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM080820039_S2.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM080820039_S2.jpg,paire_exploitable,0.3765048580946005
FR15_ABOM080820039_S3,Bombus_confusus,male,ABOM080820039,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM080820039_S3.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM080820039_S3.jpg,paire_exploitable,0.3679447338553324
FR15_ABOM090820071_P1,Bombus_confusus,male,ABOM090820071,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM090820071_P1.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM090820071_P1.JPG,paire_exploitable,0.25023991381362537
FR15_ABOM090820071_P2,Bombus_confusus,male,ABOM090820071,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM090820071_P2.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM090820071_P2.JPG,paire_exploitable,0.24580311444987882
FR15_ABOM090820071_S1,Bombus_confusus,male,ABOM090820071,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM090820071_S1.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM090820071_S1.jpg,paire_exploitable,0.43487259045113486
FR15_ABOM090820071_S2,Bombus_confusus,male,ABOM090820071,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM090820071_S2.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM090820071_S2.jpg,paire_exploitable,0.42768984298871426
FR15_ABOM090820071_S3,Bombus_confusus,male,ABOM090820071,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM090820071_S3.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM090820071_S3.jpg,paire_exploitable,0.4227190419410057
FR15_ABOM14080820006_P1,Bombus_confusus,male,ABOM14080820006,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM14080820006_P1.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM14080820006_P1.JPG,paire_exploitable,0.25092600983595914
FR15_ABOM14080820006_P2,Bombus_confusus,male,ABOM14080820006,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM14080820006_P2.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM14080820006_P2.JPG,paire_exploitable,0.24835796831717452
FR15_ABOM14080820006_S1,Bombus_confusus,male,ABOM14080820006,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM14080820006_S1.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM14080820006_S1.jpg,paire_exploitable,0.38003823084711746
FR15_ABOM14080820006_S2,Bombus_confusus,male,ABOM14080820006,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM14080820006_S2.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM14080820006_S2.jpg,paire_exploitable,0.37447394503762815
FR15_ABOM14080820006_S3,Bombus_confusus,male,ABOM14080820006,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM14080820006_S3.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM14080820006_S3.jpg,paire_exploitable,0.39628143422359463
FR15_ABOM170820009_P1,Bombus_confusus,male,ABOM170820009,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM170820009_P1.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM170820009_P1.JPG,paire_exploitable,0.2548547464724723
FR15_ABOM170820009_P2,Bombus_confusus,male,ABOM170820009,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM170820009_P2.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM170820009_P2.JPG,paire_exploitable,0.24753898134522162
FR15_ABOM170820009_S1,Bombus_confusus,male,ABOM170820009,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM170820009_S1.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM170820009_S1.jpg,paire_exploitable,0.41343273373112827
FR15_ABOM170820009_S2,Bombus_confusus,male,ABOM170820009,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM170820009_S2.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM170820009_S2.jpg,paire_exploitable,0.42322201002391663
FR15_ABOM170820009_S3,Bombus_confusus,male,ABOM170820009,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM170820009_S3.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM170820009_S3.jpg,paire_exploitable,0.4151393685890427
FR15_ABOM170820030_P1,Bombus_confusus,male,ABOM170820030,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM170820030_P1.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM170820030_P1.JPG,paire_exploitable,0.26094507444598336
FR15_ABOM170820030_P2,Bombus_confusus,male,ABOM170820030,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM170820030_P2.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM170820030_P2.JPG,paire_exploitable,0.2592674248326408
FR15_ABOM170820030_S1,Bombus_confusus,male,ABOM170820030,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM170820030_S1.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM170820030_S1.jpg,paire_exploitable,0.38708564269258705
FR15_ABOM170820030_S2,Bombus_confusus,male,ABOM170820030,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM170820030_S2.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM170820030_S2.jpg,paire_exploitable,0.3953778785731935
FR15_ABOM170820030_S3,Bombus_confusus,male,ABOM170820030,data/images/orga_widecrop/Bombus_confusus/male/FR15_ABOM170820030_S3.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15_ABOM170820030_S3.jpg,paire_exploitable,0.41956443315541
NoName8_P1,Bombus_confusus,male,P1,data/images/orga_widecrop/Bombus_confusus/male/NoName8_P1.JPG,data/images/orga_cropping/Bombus_confusus/male/NoName8_P1.JPG,paire_exploitable,0.16331745404836104
NoName8_P2,Bombus_confusus,male,P2,data/images/orga_widecrop/Bombus_confusus/male/NoName8_P2.JPG,data/images/orga_cropping/Bombus_confusus/male/NoName8_P2.JPG,paire_exploitable,0.16744203294523316
NoName8_S1,Bombus_confusus,male,S1,data/images/orga_widecrop/Bombus_confusus/male/NoName8_S1.jpg,data/images/orga_cropping/Bombus_confusus/male/NoName8_S1.jpg,paire_exploitable,0.3890125640958416
NoName8_S2,Bombus_confusus,male,S2,data/images/orga_widecrop/Bombus_confusus/male/NoName8_S2.jpg,data/images/orga_cropping/Bombus_confusus/male/NoName8_S2.jpg,paire_exploitable,0.3301661771979698
NoName8_S3,Bombus_confusus,male,S3,data/images/orga_widecrop/Bombus_confusus/male/NoName8_S3.jpg,data/images/orga_cropping/Bombus_confusus/male/NoName8_S3.jpg,paire_exploitable,0.3911515698858333
FR15ABOM060621003_P1,Bombus_confusus,queen,P1,,data/images/orga_cropping/Bombus_confusus/queen/FR15ABOM060621003_P1.JPG,crop_sans_wide,
FR15ABOM060621003_P2,Bombus_confusus,queen,P2,,data/images/orga_cropping/Bombus_confusus/queen/FR15ABOM060621003_P2.JPG,crop_sans_wide,
FR15ABOM060621003_S1,Bombus_confusus,queen,S1,,data/images/orga_cropping/Bombus_confusus/queen/FR15ABOM060621003_S1.jpg,crop_sans_wide,
FR15ABOM060621003_S2,Bombus_confusus,queen,S2,,data/images/orga_cropping/Bombus_confusus/queen/FR15ABOM060621003_S2.jpg,crop_sans_wide,
FR15ABOM060621003_S3,Bombus_confusus,queen,S3,,data/images/orga_cropping/Bombus_confusus/queen/FR15ABOM060621003_S3.jpg,crop_sans_wide,
CollecYvan10_P1,Bombus_confusus,worker,P1,data/images/orga_widecrop/Bombus_confusus/worker/CollecYvan10_P1.JPG,data/images/orga_cropping/Bombus_confusus/worker/CollecYvan10_P1.JPG,paire_exploitable,0.23724883723236959
CollecYvan10_P2,Bombus_confusus,worker,P2,data/images/orga_widecrop/Bombus_confusus/worker/CollecYvan10_P2.JPG,data/images/orga_cropping/Bombus_confusus/worker/CollecYvan10_P2.JPG,paire_exploitable,0.23952410161660317
CollecYvan10_S1,Bombus_confusus,worker,S1,data/images/orga_widecrop/Bombus_confusus/worker/CollecYvan10_S1.jpg,data/images/orga_cropping/Bombus_confusus/worker/CollecYvan10_S1.jpg,paire_exploitable,0.39440592277872727
CollecYvan10_S2,Bombus_confusus,worker,S2,data/images/orga_widecrop/Bombus_confusus/worker/CollecYvan10_S2.jpg,data/images/orga_cropping/Bombus_confusus/worker/CollecYvan10_S2.jpg,paire_exploitable,0.4129356243329338
CollecYvan10_S3,Bombus_confusus,worker,S3,data/images/orga_widecrop/Bombus_confusus/worker/CollecYvan10_S3.jpg,data/images/orga_cropping/Bombus_confusus/worker/CollecYvan10_S3.jpg,paire_exploitable,0.3627362166752521
