id,name,espece,caste,device
227,OPIE_Lapi_100803_S1,lapidarius,male,S1
228,OPIE_Lapi_100803_S2,lapidarius,male,S2
229,OPIE_Lapi_100803_S3,lapidarius,male,S3
230,OPIE_Lapi_100820_P1,lapidarius,male,P1
231,OPIE_Lapi_100820_P2,lapidarius,male,P2
232,OPIE_Lapi_100820_S1,lapidarius,male,S1
233,OPIE_Lapi_100820_S2,lapidarius,male,S2
234,OPIE_Lapi_100820_S3,lapidarius,male,S3
235,OPIE_Lapi_160720_P1,lapidarius,male,P1
236,OPIE_Lapi_160720_P2,lapidarius,male,P2
237,OPIE_Lapi_160720_S1,lapidarius,male,S1
238,OPIE_Lapi_160720_S2,lapidarius,male,S2
239,OPIE_Lapi_160720_S3,lapidarius,male,S3
240,OPIE_Lapi_180702_P1,lapidarius,male,P1
241,OPIE_Lapi_180702_P2,lapidarius,male,P2
242,OPIE_Lapi_180702_S1,lapidarius,male,S1
243,OPIE_Lapi_180702_S2,lapidarius,male,S2
244,OPIE_Lapi_180702_S3,lapidarius,male,S3
245,OPIE_Lapi_180703_P1,lapidarius,male,P1
246,OPIE_Lapi_180703_P2,lapidarius,male,P2
247,OPIE_Lapi_180703_S1,lapidarius,male,S1
248,OPIE_Lapi_180703_S2,lapidarius,male,S2
249,OPIE_Lapi_180703_S3,lapidarius,male,S3
250,OPIE_Lapi_200703_P1,lapidarius,male,P1
251,OPIE_Lapi_200703_P2,lapidarius,male,P2
252,OPIE_Lapi_200703_S1,lapidarius,male,S1
253,OPIE_Lapi_200703_S2,lapidarius,male,S2
254,OPIE_Lapi_200703_S3,lapidarius,male,S3
255,OPIE_Lapi_200703b_P1,lapidarius,male,P1
256,OPIE_Lapi_200703b_P2,lapidarius,male,P2
257,OPIE_Lapi_200703b_S1,lapidarius,male,S1
258,OPIE_Lapi_200703b_S2,lapidarius,male,S2
259,OPIE_Lapi_200703b_S3,lapidarius,male,S3
260,OPIE_Lapi_78V_P1,lapidarius,male,P1
261,OPIE_Lapi_78V_P2,lapidarius,male,P2
262,OPIE_Lapi_78V_S1,lapidarius,male,S1
263,OPIE_Lapi_78V_S2,lapidarius,male,S2
264,OPIE_Lapi_78V_S3,lapidarius,male,S3
265,OPIE_Lapi_7B_P1,lapidarius,male,P1
266,OPIE_Lapi_7B_P2,lapidarius,male,P2
267,OPIE_Lapi_7B_S1,lapidarius,male,S1
268,OPIE_Lapi_7B_S2,lapidarius,male,S2
269,OPIE_Lapi_7B_S3,lapidarius,male,S3
270,OPIE_Lapi_95C_P1,lapidarius,male,P1
271,OPIE_Lapi_95C_P2,lapidarius,male,P2
272,OPIE_Lapi_95C_S1,lapidarius,male,S1
273,OPIE_Lapi_95C_S2,lapidarius,male,S2
274,OPIE_Lapi_95C_S3,lapidarius,male,S3
275,OPIE_Lapi_A1_P1,lapidarius,male,P1
276,OPIE_Lapi_A1_P2,lapidarius,male,P2
277,OPIE_Lapi_A1_S1,lapidarius,male,S1
278,OPIE_Lapi_A1_S2,lapidarius,male,S2
279,OPIE_Lapi_A1_S3,lapidarius,male,S3
280,OPIE_Lapi_A1b_P1,lapidarius,male,P1
281,OPIE_Lapi_A1b_P2,lapidarius,male,P2
282,OPIE_Lapi_A1b_S1,lapidarius,male,S1
283,OPIE_Lapi_A1b_S2,lapidarius,male,S2
284,OPIE_Lapi_A1b_S3,lapidarius,male,S3
285,OPIE_Lapi_B2_P1,lapidarius,male,P1
286,OPIE_Lapi_B2_P2,lapidarius,male,P2
287,OPIE_Lapi_B2_S1,lapidarius,male,S1
288,OPIE_Lapi_B2_S2,lapidarius,male,S2
289,OPIE_Lapi_B2_S3,lapidarius,male,S3
290,OPIE_Lapi_B2b_P1,lapidarius,male,P1
291,OPIE_Lapi_B2b_P2,lapidarius,male,P2
292,OPIE_Lapi_B2b_S1,lapidarius,male,S1
293,OPIE_Lapi_B2b_S2,lapidarius,male,S2
294,OPIE_Lapi_B2b_S3,lapidarius,male,S3
295,OPIE_Lapi_D1_P1,lapidarius,male,P1
296,OPIE_Lapi_D1_P2,lapidarius,male,P2
297,OPIE_Lapi_D1_S1,lapidarius,male,S1
298,OPIE_Lapi_D1_S2,lapidarius,male,S2
299,OPIE_Lapi_D1_S3,lapidarius,male,S3
300,OPIE_Lapi_E7_P1,lapidarius,male,P1
301,OPIE_Lapi_E7_P2,lapidarius,male,P2
302,OPIE_Lapi_E7_S1,lapidarius,male,S1
303,OPIE_Lapi_E7_S2,lapidarius,male,S2
304,OPIE_Lapi_E7_S3,lapidarius,male,S3
305,OPIE_Lapi_H1_P1,lapidarius,male,P1
306,OPIE_Lapi_H1_P2,lapidarius,male,P2
307,OPIE_Lapi_H1_S1,lapidarius,male,S1
308,OPIE_Lapi_H1_S2,lapidarius,male,S2
309,OPIE_Lapi_H1_S3,lapidarius,male,S3
310,OPIE_Lapi_070820b_P1,lapidarius,worker,P1
311,OPIE_Lapi_070820b_P2,lapidarius,worker,P2
312,OPIE_Lapi_070820b_S1,lapidarius,worker,S1
313,OPIE_Lapi_070820b_S2,lapidarius,worker,S2
314,OPIE_Lapi_070820b_S3,lapidarius,worker,S3
315,OPIE_Lapi_110702_P1,lapidarius,worker,P1
316,OPIE_Lapi_110702_P2,lapidarius,worker,P2
317,OPIE_Lapi_110702_S1,lapidarius,worker,S1
318,OPIE_Lapi_110702_S2,lapidarius,worker,S2
319,OPIE_Lapi_110702_S3,lapidarius,worker,S3
320,OPIE_Lapi_130720_P1,lapidarius,worker,P1
321,OPIE_Lapi_130720_P2,lapidarius,worker,P2
322,OPIE_Lapi_130720_S1,lapidarius,worker,S1
323,OPIE_Lapi_130720_S2,lapidarius,worker,S2
324,OPIE_Lapi_130720_S3,lapidarius,worker,S3
325,OPIE_Lapi_130720b_P1,lapidarius,worker,P1
326,OPIE_Lapi_130720b_P2,lapidarius,worker,P2
327,OPIE_Lapi_130720b_S1,lapidarius,worker,S1
328,OPIE_Lapi_130720b_S2,lapidarius,worker,S2
329,OPIE_Lapi_130720b_S3,lapidarius,worker,S3
330,OPIE_Lapi_130720c_P1,lapidarius,worker,P1
331,OPIE_Lapi_130720c_P2,lapidarius,worker,P2
332,OPIE_Lapi_130720c_S1,lapidarius,worker,S1
333,OPIE_Lapi_130720c_S2,lapidarius,worker,S2
334,OPIE_Lapi_130720c_S3,lapidarius,worker,S3
335,OPIE_Lapi_130720d_P1,lapidarius,worker,P1
336,OPIE_Lapi_130720d_P2,lapidarius,worker,P2
337,OPIE_Lapi_130720d_S1,lapidarius,worker,S1
338,OPIE_Lapi_130720d_S2,lapidarius,worker,S2
339,OPIE_Lapi_130720d_S3,lapidarius,worker,S3
340,OPIE_Lapi_160720b_P1,lapidarius,worker,P1
341,OPIE_Lapi_160720b_P2,lapidarius,worker,P2
342,OPIE_Lapi_160720b_S1,lapidarius,worker,S1
343,OPIE_Lapi_160720b_S2,lapidarius,worker,S2
344,OPIE_Lapi_160720b_S3,lapidarius,worker,S3
345,OPIE_Lapi_200720_P1,lapidarius,worker,P1
346,OPIE_Lapi_200720_P2,lapidarius,worker,P2
347,OPIE_Lapi_200720_S1,lapidarius,worker,S1
348,OPIE_Lapi_200720_S2,lapidarius,worker,S2
349,OPIE_Lapi_200720_S3,lapidarius,worker,S3
350,OPIE_Lapi_220620_P1,lapidarius,worker,P1
351,OPIE_Lapi_220620_P2,lapidarius,worker,P2
352,OPIE_Lapi_220620_S1,lapidarius,worker,S1
353,OPIE_Lapi_220620_S2,lapidarius,worker,S2
354,OPIE_Lapi_220620_S3,lapidarius,worker,S3
355,OPIE_Lapi_220620b_P1,lapidarius,worker,P1
356,OPIE_Lapi_220620b_P2,lapidarius,worker,P2
357,OPIE_Lapi_220620b_S1,lapidarius,worker,S1
358,OPIE_Lapi_220620b_S2,lapidarius,worker,S2
359,OPIE_Lapi_220620b_S3,lapidarius,worker,S3
360,OPIE_Lapi_220620c_P1,lapidarius,worker,P1
361,OPIE_Lapi_220620c_P2,lapidarius,worker,P2
362,OPIE_Lapi_220620c_S1,lapidarius,worker,S1
363,OPIE_Lapi_220620c_S2,lapidarius,worker,S2
364,OPIE_Lapi_220620c_S3,lapidarius,worker,S3
365,OPIE_Lapi_220620d_P1,lapidarius,worker,P1
366,OPIE_Lapi_220620d_P2,lapidarius,worker,P2
367,OPIE_Lapi_220620d_S1,lapidarius,worker,S1
368,OPIE_Lapi_220620d_S2,lapidarius,worker,S2
369,OPIE_Lapi_220620d_S3,lapidarius,worker,S3
370,OPIE_Lapi_230620_P1,lapidarius,worker,P1
371,OPIE_Lapi_230620_P2,lapidarius,worker,P2
372,OPIE_Lapi_230620_S1,lapidarius,worker,S1
373,OPIE_Lapi_230620_S2,lapidarius,worker,S2
374,OPIE_Lapi_230620_S3,lapidarius,worker,S3
375,OPIE_Lapi_230620b_P1,lapidarius,worker,P1
376,OPIE_Lapi_230620b_P2,lapidarius,worker,P2
377,OPIE_Lapi_230620b_S1,lapidarius,worker,S1
378,OPIE_Lapi_230620b_S2,lapidarius,worker,S2
379,OPIE_Lapi_230620b_S3,lapidarius,worker,S3
380,OPIE_Lapi_240620_P1,lapidarius,worker,P1
381,OPIE_Lapi_240620_P2,lapidarius,worker,P2
382,OPIE_Lapi_240620_S1,lapidarius,worker,S1
383,OPIE_Lapi_240620_S2,lapidarius,worker,S2
384,OPIE_Lapi_240620_S3,lapidarius,worker,S3
385,OPIE_Lapi_240620b_P1,lapidarius,worker,P1
386,OPIE_Lapi_240620b_P2,lapidarius,worker,P2
387,OPIE_Lapi_240620b_S1,lapidarius,worker,S1
388,OPIE_Lapi_240620b_S2,lapidarius,worker,S2
389,OPIE_Lapi_240620b_S3,lapidarius,worker,S3
390,OPIE_Lapi_260620_P1,lapidarius,worker,P1
391,OPIE_Lapi_260620_P2,lapidarius,worker,P2
392,OPIE_Lapi_260620_S1,lapidarius,worker,S1
393,OPIE_Lapi_260620_S2,lapidarius,worker,S2
394,OPIE_Lapi_260620_S3,lapidarius,worker,S3
395,OPIE_Lapi_260620b_P1,lapidarius,worker,P1
396,OPIE_Lapi_260620b_P2,lapidarius,worker,P2
397,OPIE_Lapi_260620b_S1,lapidarius,worker,S1
398,OPIE_Lapi_260620b_S2,lapidarius,worker,S2
399,OPIE_Lapi_260620b_S3,lapidarius,worker,S3
400,OPIE_Lapi_270702_P1,lapidarius,worker,P1
401,OPIE_Lapi_270702_P2,lapidarius,worker,P2
402,OPIE_Lapi_270702_S1,lapidarius,worker,S1
403,OPIE_Lapi_270702_S2,lapidarius,worker,S2
404,OPIE_Lapi_270702_S3,lapidarius,worker,S3
405,OPIE_Lapi_290602_P1,lapidarius,worker,P1
406,OPIE_Lapi_290602_P2,lapidarius,worker,P2
407,OPIE_Lapi_290602_S1,lapidarius,worker,S1
408,OPIE_Lapi_290602_S2,lapidarius,worker,S2
409,OPIE_Lapi_290602_S3,lapidarius,worker,S3
410,CD387770b_P1,monticola,male,P1
411,CD387770b_P2,monticola,male,P2
412,CD387770b_S1,monticola,male,S1
413,CD387770b_S2,monticola,male,S2
414,CD387770b_S3,monticola,male,S3
415,CD387804_P1,monticola,male,P1
416,CD387804_P2,monticola,male,P2
417,CD387804_S1,monticola,male,S1
418,CD387804_S2,monticola,male,S2
419,CD387804_S3,monticola,male,S3
420,CD388230b_P1,monticola,male,P1
421,CD388230b_P2,monticola,male,P2
422,CD388230b_S1,monticola,male,S1
423,CD388230b_S2,monticola,male,S2
424,CD388230b_S3,monticola,male,S3
425,CD388230c_P1,monticola,male,P1
426,CD388230c_P2,monticola,male,P2
427,CD388230c_S1,monticola,male,S1
428,CD388230c_S2,monticola,male,S2
429,CD388230c_S3,monticola,male,S3
430,CD388623_P1,monticola,male,P1
431,CD388623_P2,monticola,male,P2
432,CD388623_S1,monticola,male,S1
433,CD388623_S2,monticola,male,S2
434,CD388623_S3,monticola,male,S3
435,CD388821_S1,monticola,male,S1
436,CD388821_S2,monticola,male,S2
437,CD388821_S3,monticola,male,S3
438,FR04ABOM220722060_P1,monticola,male,P1
439,FR04ABOM220722060_P2,monticola,male,P2
440,FR04ABOM220722060_S1,monticola,male,S1
441,FR04ABOM220722060_S2,monticola,male,S2
442,FR04ABOM220722060_S3,monticola,male,S3
443,FR73ABOM120722027_P1,monticola,male,P1
444,FR73ABOM120722027_P2,monticola,male,P2
445,FR73ABOM120722027_S1,monticola,male,S1
446,FR73ABOM120722027_S2,monticola,male,S2
447,FR73ABOM120722027_S3,monticola,male,S3
448,FR73ABOM120722070_P1,monticola,male,P1
449,FR73ABOM120722070_P2,monticola,male,P2
450,FR73ABOM120722070_S1,monticola,male,S1
451,FR73ABOM120722070_S2,monticola,male,S2
452,FR73ABOM120722070_S3,monticola,male,S3
453,FR73ABOM120722118_P1,monticola,male,P1
454,FR73ABOM120722118_P2,monticola,male,P2
455,FR73ABOM120722118_S1,monticola,male,S1
456,FR73ABOM120722118_S2,monticola,male,S2
457,FR73ABOM120722118_S3,monticola,male,S3
458,FR73ABOM130722017_P1,monticola,male,P1
459,FR73ABOM130722017_P2,monticola,male,P2
460,FR73ABOM130722017_S1,monticola,male,S1
461,FR73ABOM130722017_S2,monticola,male,S2
462,FR73ABOM130722017_S3,monticola,male,S3
463,FR73ABOM130722037_P1,monticola,male,P1
464,FR73ABOM130722037_P2,monticola,male,P2
465,FR73ABOM130722037_S1,monticola,male,S1
466,FR73ABOM130722037_S2,monticola,male,S2
467,FR73ABOM130722037_S3,monticola,male,S3
468,FR73ABOM130722039_P1,monticola,male,P1
469,FR73ABOM130722039_P2,monticola,male,P2
470,FR73ABOM130722039_S1,monticola,male,S1
471,FR73ABOM130722039_S2,monticola,male,S2
472,FR73ABOM130722039_S3,monticola,male,S3
473,FR73ABOM140722001_P1,monticola,male,P1
474,FR73ABOM140722001_P2,monticola,male,P2
475,FR73ABOM140722001_S1,monticola,male,S1
476,FR73ABOM140722001_S2,monticola,male,S2
477,FR73ABOM140722001_S3,monticola,male,S3
478,FR73ABOM140722011_P1,monticola,male,P1
479,FR73ABOM140722011_P2,monticola,male,P2
480,FR73ABOM140722011_S1,monticola,male,S1
481,FR73ABOM140722011_S2,monticola,male,S2
482,FR73ABOM140722011_S3,monticola,male,S3
483,FR73ABOM140722015_P1,monticola,male,P1
484,FR73ABOM140722015_P2,monticola,male,P2
485,FR73ABOM140722015_S1,monticola,male,S1
486,FR73ABOM140722015_S2,monticola,male,S2
487,FR73ABOM140722015_S3,monticola,male,S3
488,FR73ABOM140722031_P1,monticola,male,P1
489,FR73ABOM140722031_P2,monticola,male,P2
490,FR73ABOM140722031_S1,monticola,male,S1
491,FR73ABOM140722031_S2,monticola,male,S2
492,FR73ABOM140722031_S3,monticola,male,S3
493,FR73ABOM140722032_P1,monticola,male,P1
494,FR73ABOM140722032_P2,monticola,male,P2
495,FR73ABOM140722032_S1,monticola,male,S1
496,FR73ABOM140722032_S2,monticola,male,S2
497,FR73ABOM140722032_S3,monticola,male,S3
498,FR73ABOM140722033_P1,monticola,male,P1
499,FR73ABOM140722033_P2,monticola,male,P2
500,FR73ABOM140722033_S1,monticola,male,S1
501,FR73ABOM140722033_S2,monticola,male,S2
502,FR73ABOM140722033_S3,monticola,male,S3
503,FR73ABOM150722001_P1,monticola,male,P1
504,FR73ABOM150722001_P2,monticola,male,P2
505,FR73ABOM150722001_S1,monticola,male,S1
506,FR73ABOM150722001_S2,monticola,male,S2
507,FR73ABOM150722001_S3,monticola,male,S3
508,FR73ABOM150722006_P1,monticola,male,P1
509,FR73ABOM150722006_P2,monticola,male,P2
510,FR73ABOM150722006_S1,monticola,male,S1
511,FR73ABOM150722006_S2,monticola,male,S2
512,FR73ABOM150722006_S3,monticola,male,S3
513,FR73ABOM140722026_P1,monticola,queen,P1
514,FR73ABOM140722026_P2,monticola,queen,P2
515,FR73ABOM140722026_S1,monticola,queen,S1
516,FR73ABOM140722026_S2,monticola,queen,S2
517,FR73ABOM140722026_S3,monticola,queen,S3
518,ABAURA5667_P1,monticola,worker,P1
519,ABAURA5667_P2,monticola,worker,P2
520,ABAURA5667_S1,monticola,worker,S1
521,ABAURA5667_S2,monticola,worker,S2
522,ABAURA5667_S3,monticola,worker,S3
523,CD388408_P1,monticola,worker,P1
