id,image,espece,caste,device
51,WB1_23_0002,ruderarius,_,D1
52,WB1_23_0003,monticola,_,D1
53,WB1_23_0003,monticola,_,D1
54,WB1_23_0003,monticola,_,D1
55,WB1_23_0004,pyrenaeus,_,D1
56,WB1_23_0004,pyrenaeus,_,D1
57,WB1_23_0004,pyrenaeus,_,D1
58,WB1_23_0005,ruderarius,_,D1
59,WB1_23_0005,ruderarius,_,D1
60,WB1_23_0006,sichelii,_,D1
61,WB1_23_0006,sichelii,_,D1
62,WB1_23_0006,sichelii,_,D1
63,WB1_23_0007,soroeensis,_,D1
64,WB1_23_0007,soroeensis,_,D1
65,WB1_23_0008,soroeensis,_,D1
66,WB1_23_0008,soroeensis,_,D1
67,WB1_23_0008,soroeensis,_,D1
68,WB1_23_0009,rupestris,_,D1
69,WB1_23_0009,rupestris,_,D1
70,WB1_23_0009,rupestris,_,D1
71,WB1_23_0010,ruderarius,_,D1
72,WB1_23_0010,ruderarius,_,D1
73,WB1_23_0010,ruderarius,_,D1
74,WB1_23_0031,soroeensis,_,D1
75,WB1_23_0031,soroeensis,_,D1
76,WB1_23_0031,soroeensis,_,D1
77,WB1_23_0032,wurflenii,_,D1
78,WB1_23_0032,wurflenii,_,D1
79,WB1_23_0032,wurflenii,_,D1
80,WB1_23_0033,sichelii,_,D1
81,WB1_23_0033,sichelii,_,D1
82,WB1_23_0033,sichelii,_,D1
83,WB1_23_0034,rupestris,_,D1
84,WB1_23_0034,rupestris,_,D1
85,WB1_23_0034,rupestris,_,D1
86,WB1_23_0035,monticola,_,D1
87,WB1_23_0035,monticola,_,D1
88,WB1_23_0035,monticola,_,D1
89,WB1_23_0036,sichelii,_,D1
90,WB1_23_0036,sichelii,_,D1
91,WB1_23_0036,sichelii,_,D1
92,WB1_23_0037,rupestris,_,D1
93,WB1_23_0037,rupestris,_,D1
94,WB1_23_0037,rupestris,_,D1
95,WB1_23_0038,wurflenii,_,D1
96,WB1_23_0038,wurflenii,_,D1
97,WB1_23_0038,wurflenii,_,D1
98,WB1_23_0039,ruderarius,_,D1
99,WB1_23_0039,ruderarius,_,D1
100,WB1_23_0039,ruderarius,_,D1
101,WB1_23_0040,pyrenaeus,_,D1
102,WB1_23_0040,pyrenaeus,_,D1
103,WB1_23_0040,pyrenaeus,_,D1
104,WB1_23_0061,lapidarius,_,D1
105,WB1_23_0062,lapidarius,_,D1
106,WB1_23_0062,lapidarius,_,D1
107,WB1_23_0062,lapidarius,_,D1
108,WB1_23_0063,lapidarius,_,D1
109,WB1_23_0063,lapidarius,_,D1
110,WB1_23_0063,lapidarius,_,D1
111,WB1_23_0064,pratorum,_,D1
112,WB1_23_0064,pratorum,_,D1
113,WB1_23_0064,pratorum,_,D1
114,WB1_23_0065,lapidarius,_,D1
115,WB1_23_0065,lapidarius,_,D1
116,WB1_23_0065,lapidarius,_,D1
117,WB1_23_0066,lapidarius,_,D1
118,WB1_23_0066,lapidarius,_,D1
119,WB1_23_0066,lapidarius,_,D1
120,WB1_23_0067,pratorum,_,D1
121,WB1_23_0067,pratorum,_,D1
122,WB1_23_0067,pratorum,_,D1
123,WB1_23_0068,soroeensis,_,D1
124,WB1_23_0068,soroeensis,_,D1
125,WB1_23_0068,soroeensis,_,D1
126,WB1_23_0069,pratorum,_,D1
127,WB1_23_0069,pratorum,_,D1
128,WB1_23_0069,pratorum,_,D1
129,WB1_23_0070,pratorum,_,D1
130,WB1_23_0070,pratorum,_,D1
131,WB1_23_0070,pratorum,_,D1
132,WB1_23_0116,soroeensis,_,D1
133,WB1_23_0116,soroeensis,_,D1
134,WB1_23_0116,soroeensis,_,D1
135,WB1_23_0117,pratorum,_,D1
136,WB1_23_0117,pratorum,_,D1
137,WB1_23_0117,pratorum,_,D1
138,WB1_23_0118,lapidarius,_,D1
139,WB1_23_0118,lapidarius,_,D1
140,WB1_23_0118,lapidarius,_,D1
141,WB1_23_0119,pratorum,_,D1
142,WB1_23_0119,pratorum,_,D1
143,WB1_23_0119,pratorum,_,D1
144,WB1_23_0120,soroeensis,_,D1
145,WB1_23_0120,soroeensis,_,D1
146,WB1_23_0120,soroeensis,_,D1
147,WB1_23_0121,sylvarum,_,D1
148,WB1_23_0121,sylvarum,_,D1
149,WB1_23_0121,sylvarum,_,D1
150,WB1_23_0122,pratorum,_,D1
151,WB1_23_0122,pratorum,_,D1
152,WB1_23_0122,pratorum,_,D1
153,WB1_23_0123,pratorum,_,D1
154,WB1_23_0123,pratorum,_,D1
155,WB1_23_0123,pratorum,_,D1
156,WB1_23_0124,pratorum,_,D1
157,WB1_23_0124,pratorum,_,D1
158,WB1_23_0124,pratorum,_,D1
159,WB1_23_0125,confusus,_,D1
160,WB1_23_0125,confusus,_,D1
161,WB1_23_0125,confusus,_,D1
162,WB1_23_0076,lapidarius,_,D1
163,WB1_23_0076,lapidarius,_,D1
164,WB1_23_0076,lapidarius,_,D1
165,WB1_23_0077,lapidarius,_,D1
166,WB1_23_0077,lapidarius,_,D1
167,WB1_23_0077,lapidarius,_,D1
168,WB1_23_0078,lapidarius,_,D1
169,WB1_23_0078,lapidarius,_,D1
170,WB1_23_0078,lapidarius,_,D1
171,WB1_23_0079,lapidarius,_,D1
172,WB1_23_0079,lapidarius,_,D1
173,WB1_23_0079,lapidarius,_,D1
174,WB1_23_0080,lapidarius,_,D1
175,WB1_23_0080,lapidarius,_,D1
176,WB1_23_0080,lapidarius,_,D1
177,WB1_23_0081,lapidarius,_,D1
178,WB1_23_0081,lapidarius,_,D1
179,WB1_23_0081,lapidarius,_,D1
180,WB1_23_0082,lapidarius,_,D1
181,WB1_23_0082,lapidarius,_,D1
182,WB1_23_0082,lapidarius,_,D1
183,WB1_23_0083,lapidarius,_,D1
184,WB1_23_0083,lapidarius,_,D1
185,WB1_23_0083,lapidarius,_,D1
186,WB1_23_0084,lapidarius,_,D1
187,WB1_23_0084,lapidarius,_,D1
188,WB1_23_0084,lapidarius,_,D1
189,WB1_23_0085,lapidarius,_,D1
190,WB1_23_0085,lapidarius,_,D1
191,WB1_23_0085,lapidarius,_,D1
192,WB1_23_0086,sylvarum,_,D1
193,WB1_23_0086,sylvarum,_,D1
194,WB1_23_0086,sylvarum,_,D1
195,WB1_23_0087,sylvarum,_,D1
196,WB1_23_0087,sylvarum,_,D1
197,WB1_23_0087,sylvarum,_,D1
198,WB1_23_0126,rupestris,_,D1
199,WB1_23_0126,rupestris,_,D1
200,WB1_23_0126,rupestris,_,D1
201,WB1_23_0127,lapidarius,_,D1
202,WB1_23_0127,lapidarius,_,D1
203,WB1_23_0127,lapidarius,_,D1
204,WB1_23_0128,lapidarius,_,D1
205,WB1_23_0128,lapidarius,_,D1
206,WB1_23_0128,lapidarius,_,D1
207,WB1_23_0129,sylvarum,_,D1
208,WB1_23_0129,sylvarum,_,D1
209,WB1_23_0129,sylvarum,_,D1
210,WB1_23_0129,sylvarum,_,D1
211,WB1_23_0130,sylvarum,_,D1
212,WB1_23_0130,sylvarum,_,D1
213,WB1_23_0130,sylvarum,_,D1
214,WB1_23_0131,pratorum,_,D1
215,WB1_23_0131,pratorum,_,D1
216,WB1_23_0131,pratorum,_,D1
217,WB1_23_0132,lapidarius,_,D1
218,WB1_23_0132,lapidarius,_,D1
219,WB1_23_0132,lapidarius,_,D1
220,WB1_23_0133,pratorum,_,D1
221,WB1_23_0133,pratorum,_,D1
222,WB1_23_0133,pratorum,_,D1
223,WB1_23_0134,lapidarius,_,D1
224,WB1_23_0134,lapidarius,_,D1
225,WB1_23_0134,lapidarius,_,D1
226,WB1_23_0135,lapidarius,_,D1
227,WB1_23_0135,lapidarius,_,D1
228,WB1_23_0135,lapidarius,_,D1
229,WB1_23_0135,lapidarius,_,D1
230,WB1_23_0106,lapidarius,_,D1
231,WB1_23_0106,lapidarius,_,D1
232,WB1_23_0106,lapidarius,_,D1
233,WB1_23_0107,lapidarius,_,D1
234,WB1_23_0107,lapidarius,_,D1
235,WB1_23_0107,lapidarius,_,D1
236,WB1_23_0108,lapidarius,_,D1
237,WB1_23_0108,lapidarius,_,D1
238,WB1_23_0108,lapidarius,_,D1
239,WB1_23_0109,lapidarius,_,D1
240,WB1_23_0109,lapidarius,_,D1
241,WB1_23_0110,sylvarum,_,D1
242,WB1_23_0110,sylvarum,_,D1
243,WB1_23_0111,lapidarius,_,D1
244,WB1_23_0111,lapidarius,_,D1
245,WB1_23_0111,lapidarius,_,D1
246,WB1_23_0112,lapidarius,_,D1
247,WB1_23_0112,lapidarius,_,D1
248,WB1_23_0113,lapidarius,_,D1
249,WB1_23_0113,lapidarius,_,D1
250,WB1_23_0113,lapidarius,_,D1
251,WB1_23_0114,lapidarius,_,D1
252,WB1_23_0114,lapidarius,_,D1
253,WB1_23_0114,lapidarius,_,D1
254,WB1_23_0115,lapidarius,_,D1
255,WB1_23_0115,lapidarius,_,D1
256,WB1_23_0115,lapidarius,_,D1
257,WB1_23_0016,ruderarius,_,D1
258,WB1_23_0016,ruderarius,_,D1
259,WB1_23_0016,ruderarius,_,D1
260,WB1_23_0017,sichelii,_,D1
261,WB1_23_0017,sichelii,_,D1
262,WB1_23_0017,sichelii,_,D1
263,WB1_23_0018,sichelii,_,D1
264,WB1_23_0018,sichelii,_,D1
265,WB1_23_0018,sichelii,_,D1
266,WB1_23_0019,sichelii,_,D1
267,WB1_23_0019,sichelii,_,D1
268,WB1_23_0019,sichelii,_,D1
269,WB1_23_0020,ruderarius,_,D1
270,WB1_23_0020,ruderarius,_,D1
271,WB1_23_0020,ruderarius,_,D1
272,WB1_23_0021,ruderarius,_,D1
273,WB1_23_0021,ruderarius,_,D1
274,WB1_23_0022,ruderarius,_,D1
275,WB1_23_0022,ruderarius,_,D1
276,WB1_23_0022,ruderarius,_,D1
277,WB1_23_0023,pyrenaeus,_,D1
278,WB1_23_0023,pyrenaeus,_,D1
279,WB1_23_0023,pyrenaeus,_,D1
280,WB1_23_0024,soroeensis,_,D1
281,WB1_23_0024,soroeensis,_,D1
282,WB1_23_0024,soroeensis,_,D1
283,WB1_23_0025,soroeensis,_,D1
284,WB1_23_0025,soroeensis,_,D1
285,WB1_23_0025,soroeensis,_,D1
286,WB1_23_0026,wurflenii,_,D1
287,WB1_23_0026,wurflenii,_,D1
288,WB1_23_0026,wurflenii,_,D1
